Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Morphessor_Scores,Reading_Time,Accuracy
a/c,N,3,"['a', '/', 'c']",2,0.0,23.29,668.04,0.77
aband,N,5,"['a', 'band']",1,0.6,17.78,706.5,0.92
abayed,N,6,"['a', 'bay', 'ed']",2,0.5,27.61,689.94,0.87
abbear,N,6,"['ab', 'bear']",1,0.67,20.28,560.58,0.95
abbears,N,7,"['ab', 'bear', 's']",2,0.57,26.52,611.41,0.98
abbens,N,6,"['ab', 'b', 'ens']",2,0.5,28.94,598.29,1.0
abchaim,N,7,"['ab', 'cha', 'im']",2,0.57,28.97,591.76,1.0
abects,N,6,"['ab', 'ect', 's']",2,0.5,28.52,635.21,0.98
abeme,N,5,"['a', 'be', 'me']",2,0.4,25.7,591.06,0.95
abents,N,6,"['a', 'bent', 's']",2,0.5,25.61,690.26,0.98
abests,N,6,"['a', 'best', 's']",2,0.5,23.98,640.55,0.89
abik,N,4,"['a', 'bik']",1,0.5,19.36,518.63,1.0
ablobs,N,6,"['ab', 'lob', 's']",2,0.5,28.19,585.68,1.0
abme,N,4,"['ab', 'me']",1,0.5,20.06,532.0,1.0
abne,N,4,"['ab', 'ne']",1,0.5,19.74,559.13,0.98
abone,N,5,"['ab', 'one']",1,0.6,18.85,702.03,0.87
abones,N,6,"['ab', 'one', 's']",2,0.5,25.1,666.15,0.95
abow,N,4,"['a', 'bow']",1,0.5,18.67,699.42,0.89
abran,N,5,"['ab', 'ran']",1,0.6,20.94,579.66,1.0
abrass,N,6,"['abr', 'ass']",1,0.67,24.0,660.74,0.92
abrast,N,6,"['a', 'bras', 't']",2,0.5,26.47,677.92,0.92
abre,N,4,"['ab', 're']",1,0.5,17.34,671.21,1.0
abreeves,N,8,"['abr', 'eev', 'es']",2,0.62,33.93,666.39,0.8
abroths,N,7,"['a', 'broth', 's']",2,0.57,26.08,606.58,0.98
abrush,N,6,"['a', 'brush']",1,0.67,18.96,746.56,0.74
abscrict,N,8,"['abs', 'cr', 'ict']",2,0.62,35.62,771.29,0.97
abscue,N,6,"['ab', 'scu', 'e']",2,0.5,28.62,717.69,0.79
abscued,N,7,"['ab', 'scu', 'ed']",2,0.57,29.72,795.59,0.9
abscusts,N,8,"['abs', 'cus', 'ts']",2,0.62,36.47,663.85,0.92
absians,N,7,"['abs', 'ian', 's']",2,0.57,29.27,697.26,0.92
absidge,N,7,"['ab', 'sid', 'ge']",2,0.57,30.46,633.26,1.0
absigned,N,8,"['ab', 'sign', 'ed']",2,0.62,27.46,722.43,0.79
absincts,N,8,"['abs', 'inc', 'ts']",2,0.62,34.86,732.5,0.7
absipsed,N,8,"['ab', 'sip', 'sed']",2,0.62,32.82,567.32,0.97
absirl,N,6,"['ab', 'sir', 'l']",2,0.5,29.51,571.71,0.98
abslete,N,7,"['abs', 'let', 'e']",2,0.57,29.61,671.5,0.85
absletes,N,8,"['abs', 'let', 'es']",2,0.62,31.18,648.28,0.98
absord,N,6,"['abs', 'ord']",1,0.67,24.19,777.93,0.79
absords,N,7,"['abs', 'ord', 's']",2,0.57,30.43,893.5,0.66
absost,N,6,"['abs', 'ost']",1,0.67,25.1,689.86,0.97
absosts,N,7,"['abs', 'ost', 's']",2,0.57,31.35,612.73,1.0
absount,N,7,"['ab', 'so', 'unt']",2,0.57,31.12,662.05,0.98
absounts,N,8,"['ab', 'so', 'unt', 's']",3,0.5,37.37,741.0,0.98
abstrade,N,8,"['abs', 'trade']",1,0.75,22.78,733.34,0.95
abstrides,N,9,"['ab', 'strid', 'es']",2,0.67,30.34,749.09,0.85
abstuened,N,9,"['abs', 'tu', 'en', 'ed']",3,0.56,38.3,652.59,1.0
abstuent,N,8,"['abs', 'tu', 'ent']",2,0.62,31.99,701.29,0.92
absuse,N,6,"['abs', 'use']",1,0.67,23.19,838.12,0.45
absused,N,7,"['abs', 'used']",1,0.71,25.1,937.69,0.34
abud,N,4,"['a', 'bud']",1,0.5,19.65,630.39,1.0
abusts,N,6,"['abus', 'ts']",1,0.67,23.73,706.24,0.85
abvid,N,5,"['ab', 'vi', 'd']",2,0.4,27.82,604.72,1.0
abwipt,N,6,"['ab', 'wip', 't']",2,0.5,29.16,539.98,1.0
acaned,N,6,"['a', 'can', 'ed']",2,0.5,25.46,585.1,0.98
acax,N,4,"['ac', 'ax']",1,0.5,20.76,516.16,1.0
accar,N,5,"['ac', 'car']",1,0.6,19.37,635.34,0.98
accars,N,6,"['ac', 'car', 's']",2,0.5,25.62,583.26,0.95
acclo,N,5,"['ac', 'clo']",1,0.6,21.68,581.68,1.0
accrieve,N,8,"['ac', 'cri', 'eve']",2,0.62,31.71,637.29,0.92
accrieved,N,9,"['ac', 'cri', 'ev', 'ed']",3,0.56,38.05,680.18,0.88
accrond,N,7,"['ac', 'c', 'rond']",2,0.57,29.77,632.47,0.98
accubes,N,7,"['ac', 'cub', 'es']",2,0.57,29.64,589.63,0.95
accult,N,6,"['ac', 'cult']",1,0.67,20.9,808.74,0.74
accune,N,6,"['ac', 'cu', 'ne']",2,0.5,29.55,726.62,1.0
accurd,N,6,"['ac', 'cur', 'd']",2,0.5,27.63,667.48,0.82
accures,N,7,"['ac', 'cur', 'es']",2,0.57,27.98,806.89,0.53
accusts,N,7,"['accus', 'ts']",1,0.71,23.11,701.68,0.88
aced,N,4,"['ac', 'ed']",1,0.5,17.98,515.0,0.03
achens,N,6,"['ach', 'ens']",1,0.67,21.5,662.46,0.95
achms,N,5,"['ach', 'ms']",1,0.6,22.46,585.37,1.0
achop,N,5,"['a', 'chop']",1,0.6,20.06,585.39,0.95
aciss,N,5,"['ac', 'is', 's']",2,0.4,24.68,574.51,1.0
acive,N,5,"['ac', 'ive']",1,0.6,20.25,636.42,0.95
acks,N,4,"['ac', 'ks']",1,0.5,22.08,597.64,1.0
acloot,N,6,"['ac', 'loot']",1,0.67,21.27,534.54,0.97
acnant,N,6,"['ac', 'n', 'ant']",2,0.5,26.64,544.28,1.0
acone,N,5,"['ac', 'one']",1,0.6,18.43,661.72,0.97
acorked,N,7,"['ac', 'or', 'k', 'ed']",3,0.43,34.16,602.74,0.97
acqure,N,6,"['ac', 'qu', 're']",2,0.5,26.2,797.73,0.89
acqured,N,7,"['ac', 'qu', 'red']",2,0.57,28.59,833.72,0.89
acreds,N,6,"['acre', 'ds']",1,0.67,24.14,631.29,0.97
acruist,N,7,"['a', 'cruis', 't']",2,0.57,27.06,643.45,0.98
acsuakes,N,8,"['ac', 'su', 'ak', 'es']",3,0.5,37.7,582.64,1.0
acter,N,5,"['act', 'er']",1,0.6,17.59,821.9,0.5
acters,N,6,"['act', 'ers']",1,0.67,20.64,787.91,0.6
actot,N,5,"['act', 'ot']",1,0.6,21.05,610.97,0.95
acung,N,5,"['ac', 'ung']",1,0.6,20.7,563.81,1.0
adaints,N,7,"['ada', 'int', 's']",2,0.57,29.15,642.22,1.0
adbells,N,7,"['ad', 'bell', 's']",2,0.57,26.54,574.81,0.98
adbly,N,5,"['ad', 'b', 'ly']",2,0.4,26.06,607.84,1.0
adbries,N,7,"['ad', 'bri', 'es']",2,0.57,29.19,602.46,1.0
adbu,N,4,"['ad', 'bu']",1,0.5,20.3,541.92,1.0
adbys,N,5,"['ad', 'by', 's']",2,0.4,25.22,541.7,0.97
adcorb,N,6,"['ad', 'cor', 'b']",2,0.5,28.18,609.51,1.0
adcorbs,N,7,"['ad', 'cor', 'b', 's']",3,0.43,34.43,607.72,1.0
adcorts,N,7,"['ad', 'cort', 's']",2,0.57,28.2,604.78,0.98
addal,N,5,"['add', 'al']",1,0.6,18.69,591.97,1.0
addaled,N,7,"['add', 'al', 'ed']",2,0.57,26.47,671.53,0.98
addave,N,6,"['add', 'ave']",1,0.67,22.96,599.15,1.0
adday,N,5,"['ad', 'day']",1,0.6,19.15,635.06,0.92
addeared,N,8,"['ad', 'dear', 'ed']",2,0.62,28.82,658.59,0.78
addend,N,6,"['add', 'end']",1,0.67,19.54,680.94,0.92
addends,N,7,"['add', 'end', 's']",2,0.57,25.78,666.84,0.84
addralt,N,7,"['add', 'r', 'alt']",2,0.57,29.32,620.76,1.0
addre,N,5,"['add', 're']",1,0.6,17.8,556.22,1.0
addume,N,6,"['addu', 'me']",1,0.67,22.95,627.68,1.0
addunds,N,7,"['add', 'und', 's']",2,0.57,27.16,634.16,0.97
addured,N,7,"['addu', 'red']",1,0.71,22.62,688.17,0.82
addushed,N,8,"['addu', 'shed']",1,0.75,25.17,659.53,1.0
adeen,N,5,"['a', 'de', 'en']",2,0.4,23.6,636.42,1.0
adfle,N,5,"['ad', 'fl', 'e']",2,0.4,26.52,525.95,1.0
adfler,N,6,"['ad', 'fl', 'er']",2,0.5,27.03,567.05,1.0
adfles,N,6,"['ad', 'fl', 'es']",2,0.5,28.1,564.0,1.0
adhands,N,7,"['ad', 'hands']",1,0.71,20.45,634.51,0.98
adhirds,N,7,"['ad', 'hir', 'ds']",2,0.57,32.03,680.45,0.98
adhist,N,6,"['ad', 'hi', 'st']",2,0.5,27.79,670.28,0.98
adiffs,N,6,"['a', 'diff', 's']",2,0.5,25.9,558.92,1.0
adle,N,4,"['ad', 'le']",1,0.5,18.71,710.69,0.7
adlears,N,7,"['ad', 'le', 'ars']",2,0.57,30.04,622.74,1.0
adleys,N,6,"['ad', 'ley', 's']",2,0.5,27.29,609.58,1.0
adloss,N,6,"['ad', 'loss']",1,0.67,21.15,591.3,1.0
adly,N,4,"['ad', 'ly']",1,0.5,18.44,650.5,0.98
admar,N,5,"['ad', 'mar']",1,0.6,19.51,562.56,1.0
admueurs,N,8,"['ad', 'mu', 'eur', 's']",3,0.5,38.52,600.62,1.0
admuffs,N,7,"['ad', 'muff', 's']",2,0.57,27.64,679.13,1.0
admugned,N,8,"['ad', 'mug', 'n', 'ed']",3,0.5,36.71,648.45,1.0
admunds,N,7,"['ad', 'mund', 's']",2,0.57,28.2,661.49,0.98
admurst,N,7,"['ad', 'mur', 'st']",2,0.57,29.36,655.3,1.0
adom,N,4,"['a', 'dom']",1,0.5,18.5,615.21,0.95
adsen,N,5,"['ad', 'sen']",1,0.6,21.73,585.54,1.0
adstied,N,7,"['ad', 's', 'tied']",2,0.57,27.98,694.92,1.0
adter,N,5,"['ad', 'ter']",1,0.6,20.05,565.84,1.0
advioned,N,8,"['adv', 'ion', 'ed']",2,0.62,29.11,661.86,1.0
adwocked,N,8,"['ad', 'w', 'ock', 'ed']",3,0.5,37.03,606.15,1.0
adwoke,N,6,"['ad', 'wok', 'e']",2,0.5,27.62,600.27,0.97
adwolds,N,7,"['ad', 'w', 'old', 's']",3,0.43,34.24,617.05,1.0
adwosks,N,7,"['ad', 'wo', 'sk', 's']",3,0.43,36.76,582.67,1.0
adwouched,N,9,"['ad', 'wo', 'uc', 'hed']",3,0.56,43.23,632.37,1.0
adwourts,N,8,"['ad', 'w', 'our', 'ts']",3,0.5,39.26,608.76,1.0
aecher,N,6,"['a', 'ec', 'her']",2,0.5,27.8,555.28,1.0
aekom,N,5,"['ae', 'kom']",1,0.6,24.98,560.42,1.0
aertion,N,7,"['a', 'er', 'tion']",2,0.57,24.47,581.34,0.97
aesful,N,6,"['a', 'es', 'ful']",2,0.5,26.11,559.23,0.98
