,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,aad,N,3,"['a', 'ad']",1,0.33
1,aaf,N,3,"['a', 'af']",1,0.33
2,aagst,N,5,"['a', 'ag', 'st']",2,0.4
3,aakbeest,N,8,"['a', 'ak', 'be', 'est']",3,0.5
4,aakje,N,5,"['a', 'ak', 'je']",2,0.4
5,aaks,N,4,"['a', 'aks']",1,0.5
6,aakst,N,5,"['a', 'ak', 'st']",2,0.4
7,aakwes,N,6,"['a', 'ak', 'w', 'es']",3,0.33
8,aalde,N,5,"['aal', 'de']",1,0.6
9,aalden,N,6,"['aal', 'den']",1,0.67
10,aalder,N,6,"['aal', 'der']",1,0.67
11,aalgees,N,7,"['aal', 'ge', 'es']",2,0.57
12,aanbok,N,6,"['aan', 'bo', 'k']",2,0.5
13,aanbol,N,6,"['aan', 'bol']",1,0.67
14,aand,N,4,"['a', 'and']",1,0.5
15,aandge,N,6,"['a', 'and', 'ge']",2,0.5
16,aangiep,N,7,"['aan', 'gie', 'p']",2,0.57
17,aankeen,N,7,"['aan', 'k', 'een']",2,0.57
18,aankeerd,N,8,"['aan', 'keerd']",1,0.75
19,aankrast,N,8,"['aan', 'kr', 'ast']",2,0.62
20,aankruig,N,8,"['aan', 'kru', 'ig']",2,0.62
21,aannicht,N,8,"['aan', 'ni', 'cht']",2,0.62
22,aannorst,N,8,"['aan', 'nor', 'st']",2,0.62
23,aanpijk,N,7,"['aan', 'p', 'ijk']",2,0.57
24,aanplok,N,7,"['aan', 'plo', 'k']",2,0.57
25,aanpunst,N,8,"['aan', 'pun', 'st']",2,0.62
26,aanrof,N,6,"['aan', 'r', 'of']",2,0.5
27,aanrus,N,6,"['aan', 'rus']",1,0.67
28,aans,N,4,['aans'],0,0.75
29,aanschijk,N,9,"['aans', 'ch', 'ijk']",2,0.67
30,aanschuw,N,8,"['aans', 'ch', 'uw']",2,0.62
31,aanstaam,N,8,"['aans', 'ta', 'am']",2,0.62
32,aanveeldt,N,9,"['aan', 've', 'eld', 't']",3,0.56
33,aanweer,N,7,"['aan', 'weer']",1,0.71
34,aanwid,N,6,"['aan', 'w', 'id']",2,0.5
35,aarbracht,N,9,"['aar', 'bracht']",1,0.78
36,aarbrang,N,8,"['aar', 'br', 'ang']",2,0.62
37,aardgoo,N,7,"['aard', 'goo']",1,0.71
38,aardkil,N,7,"['aard', 'kil']",1,0.71
39,aardraan,N,8,"['aar', 'dra', 'an']",2,0.62
40,aardsomst,N,9,"['aard', 'som', 'st']",2,0.67
41,aargrift,N,8,"['aar', 'gr', 'ift']",2,0.62
42,aarhoop,N,7,"['aar', 'hoop']",1,0.71
43,aarjang,N,7,"['aar', 'j', 'ang']",2,0.57
44,aarlang,N,7,"['aar', 'lang']",1,0.71
45,aarnert,N,7,"['aar', 'ner', 't']",2,0.57
46,aarplag,N,7,"['aar', 'pla', 'g']",2,0.57
47,aarriens,N,8,"['aar', 'riens']",1,0.75
48,aarschaans,N,10,"['aar', 'sch', 'aans']",2,0.7
49,aarschein,N,9,"['aar', 'sche', 'in']",2,0.67
50,aarsien,N,7,"['aar', 'si', 'en']",2,0.57
51,aarst,N,5,"['aar', 'st']",1,0.6
52,aarstands,N,9,"['aar', 'stands']",1,0.78
53,aartol,N,6,"['aar', 'tol']",1,0.67
54,aarwel,N,6,"['aar', 'wel']",1,0.67
55,aarwouw,N,7,"['aar', 'w', 'ouw']",2,0.57
56,aat,N,3,"['a', 'at']",1,0.33
