,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,aad,N,3,"['a', 'ad']",1,0.33
1,aaf,N,3,"['a', 'af']",1,0.33
2,aagst,N,5,"['a', 'ag', 'st']",2,0.4
3,aakbeest,N,8,"['a', 'ak', 'be', 'est']",3,0.5
4,aakje,N,5,"['a', 'ak', 'je']",2,0.4
5,aaks,N,4,"['a', 'aks']",1,0.5
6,aakst,N,5,"['a', 'ak', 'st']",2,0.4
7,aakwes,N,6,"['a', 'ak', 'w', 'es']",3,0.33
8,aalde,N,5,"['a', 'alde']",1,0.6
9,aalden,N,6,"['a', 'ald', 'en']",2,0.5
10,aalder,N,6,"['a', 'al', 'der']",2,0.5
11,aalgees,N,7,"['a', 'al', 'ge', 'es']",3,0.43
12,aanbok,N,6,"['aan', 'b', 'ok']",2,0.5
13,aanbol,N,6,"['aan', 'bol']",1,0.67
14,aand,N,4,"['a', 'and']",1,0.5
15,aandge,N,6,"['a', 'and', 'ge']",2,0.5
16,aangiep,N,7,"['a', 'ang', 'ie', 'p']",3,0.43
17,aankeen,N,7,"['aan', 'ke', 'en']",2,0.57
18,aankeerd,N,8,"['aan', 'ke', 'erd']",2,0.62
19,aankrast,N,8,"['a', 'ank', 'rast']",2,0.62
20,aankruig,N,8,"['a', 'ank', 'ru', 'ig']",3,0.5
21,aannicht,N,8,"['a', 'ann', 'icht']",2,0.62
22,aannorst,N,8,"['a', 'ann', 'orst']",2,0.62
23,aanpijk,N,7,"['aan', 'p', 'ijk']",2,0.57
24,aanplok,N,7,"['aan', 'pl', 'ok']",2,0.57
25,aanpunst,N,8,"['aan', 'pun', 'st']",2,0.62
26,aanrof,N,6,"['aan', 'ro', 'f']",2,0.5
27,aanrus,N,6,"['aan', 'rus']",1,0.67
28,aans,N,4,"['a', 'ans']",1,0.5
29,aanschijk,N,9,"['a', 'ans', 'ch', 'ijk']",3,0.56
30,aanschuw,N,8,"['a', 'ans', 'chu', 'w']",3,0.5
31,aanstaam,N,8,"['aan', 'sta', 'am']",2,0.62
32,aanveeldt,N,9,"['aan', 've', 'e', 'ld', 't']",4,0.44
33,aanweer,N,7,"['aan', 'we', 'er']",2,0.57
34,aanwid,N,6,"['aan', 'wid']",1,0.67
35,aarbracht,N,9,"['a', 'ar', 'br', 'acht']",3,0.56
36,aarbrang,N,8,"['a', 'ar', 'br', 'ang']",3,0.5
37,aardgoo,N,7,"['a', 'ard', 'goo']",2,0.57
38,aardkil,N,7,"['a', 'ard', 'kil']",2,0.57
39,aardraan,N,8,"['a', 'ard', 'ra', 'an']",3,0.5
40,aardsomst,N,9,"['a', 'ards', 'om', 'st']",3,0.56
41,aargrift,N,8,"['a', 'arg', 'rift']",2,0.62
42,aarhoop,N,7,"['a', 'ar', 'ho', 'op']",3,0.43
43,aarjang,N,7,"['a', 'ar', 'j', 'ang']",3,0.43
44,aarlang,N,7,"['a', 'arl', 'ang']",2,0.57
45,aarnert,N,7,"['a', 'arn', 'ert']",2,0.57
46,aarplag,N,7,"['a', 'ar', 'pl', 'ag']",3,0.43
47,aarriens,N,8,"['a', 'ar', 'ri', 'ens']",3,0.5
48,aarschaans,N,10,"['a', 'ars', 'cha', 'ans']",3,0.6
49,aarschein,N,9,"['a', 'ars', 'che', 'in']",3,0.56
50,aarsien,N,7,"['a', 'ars', 'ien']",2,0.57
51,aarst,N,5,"['a', 'ar', 'st']",2,0.4
52,aarstands,N,9,"['a', 'ar', 'stand', 's']",3,0.56
