,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['▁a', '/', 'c']",2,0.0
1,aband,N,5,"['▁a', 'band']",1,0.6
2,abayed,N,6,"['▁a', 'bay', 'ed']",2,0.5
3,abbear,N,6,"['▁', 'ab', 'bear']",2,0.5
4,abbears,N,7,"['▁a', 'bbe', 'ars']",2,0.57
5,abbens,N,6,"['▁a', 'bb', 'ens']",2,0.5
6,abchaim,N,7,"['▁', 'ab', 'chai', 'm']",3,0.43
7,abects,N,6,"['▁', 'ab', 'ect', 's']",3,0.33
8,abeme,N,5,"['▁a', 'be', 'me']",2,0.4
9,abents,N,6,"['▁a', 'ben', 't', 's']",3,0.33
10,abests,N,6,"['▁a', 'best', 's']",2,0.5
11,abik,N,4,"['▁', 'abi', 'k']",2,0.25
12,ablobs,N,6,"['▁a', 'blo', 'bs']",2,0.5
13,abme,N,4,"['▁', 'ab', 'me']",2,0.25
14,abne,N,4,"['▁', 'ab', 'ne']",2,0.25
15,abone,N,5,"['▁a', 'bone']",1,0.6
16,abones,N,6,"['▁a', 'bone', 's']",2,0.5
17,abow,N,4,"['▁a', 'bow']",1,0.5
18,abran,N,5,"['▁', 'ab', 'ran']",2,0.4
19,abrass,N,6,"['▁a', 'bra', 's', 's']",3,0.33
20,abrast,N,6,"['▁a', 'bra', 'st']",2,0.5
21,abre,N,4,"['▁a', 'bre']",1,0.5
22,abreeves,N,8,"['▁a', 'bre', 'eves']",2,0.62
23,abroths,N,7,"['▁a', 'bro', 'th', 's']",3,0.43
24,abrush,N,6,"['▁a', 'brush']",1,0.67
25,abscrict,N,8,"['▁a', 'bs', 'cri', 'ct']",3,0.5
26,abscue,N,6,"['▁', 'ab', 'scu', 'e']",3,0.33
27,abscued,N,7,"['▁', 'ab', 'scu', 'ed']",3,0.43
28,abscusts,N,8,"['▁a', 'bs', 'cus', 't', 's']",4,0.38
29,absians,N,7,"['▁a', 'bs', 'ians']",2,0.57
30,absidge,N,7,"['▁a', 'bs', 'idge']",2,0.57
31,absigned,N,8,"['▁', 'ab', 'signed']",2,0.62
