,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,aad,N,3,"['a', '##a', '##d']",2,0.0
1,aaf,N,3,"['a', '##af']",1,0.33
2,aagst,N,5,"['a', '##ag', '##s', '##t']",3,0.2
3,aakbeest,N,8,"['a', '##ak', '##beest']",2,0.62
4,aakje,N,5,"['a', '##ak', '##je']",2,0.4
5,aaks,N,4,"['a', '##aks']",1,0.5
6,aakst,N,5,"['a', '##aks', '##t']",2,0.4
7,aakwes,N,6,"['a', '##ak', '##we', '##s']",3,0.33
8,aalde,N,5,"['a', '##ald', '##e']",2,0.4
9,aalden,N,6,"['a', '##ald', '##en']",2,0.5
10,aalder,N,6,"['a', '##ald', '##er']",2,0.5
11,aalgees,N,7,"['a', '##al', '##ge', '##e', '##s']",4,0.29
12,aanbok,N,6,"['aan', '##bok']",1,0.67
13,aanbol,N,6,"['aan', '##bol']",1,0.67
14,aand,N,4,"['aan', '##d']",1,0.5
15,aandge,N,6,"['aan', '##d', '##ge']",2,0.5
16,aangiep,N,7,"['aan', '##gie', '##p']",2,0.57
17,aankeen,N,7,"['aan', '##k', '##e', '##en']",3,0.43
18,aankeerd,N,8,"['aan', '##keer', '##d']",2,0.62
19,aankrast,N,8,"['aan', '##kra', '##s', '##t']",3,0.5
20,aankruig,N,8,"['aan', '##kru', '##ig']",2,0.62
21,aannicht,N,8,"['aan', '##n', '##icht']",2,0.62
22,aannorst,N,8,"['aan', '##nor', '##s', '##t']",3,0.5
23,aanpijk,N,7,"['aan', '##p', '##ijk']",2,0.57
24,aanplok,N,7,"['aan', '##plo', '##k']",2,0.57
25,aanpunst,N,8,"['aan', '##pu', '##n', '##s', '##t']",4,0.38
26,aanrof,N,6,"['aan', '##ro', '##f']",2,0.5
27,aanrus,N,6,"['aan', '##rus']",1,0.67
28,aans,N,4,"['aan', '##s']",1,0.5
29,aanschijk,N,9,"['aan', '##schi', '##j', '##k']",3,0.56
30,aanschuw,N,8,"['aan', '##sch', '##uw']",2,0.62
31,aanstaam,N,8,"['aan', '##sta', '##am']",2,0.62
32,aanveeldt,N,9,"['aan', '##veel', '##d', '##t']",3,0.56
33,aanweer,N,7,"['aan', '##weer']",1,0.71
34,aanwid,N,6,"['aan', '##wi', '##d']",2,0.5
35,aarbracht,N,9,"['a', '##ar', '##bracht']",2,0.67
36,aarbrang,N,8,"['a', '##ar', '##bra', '##n', '##g']",4,0.38
37,aardgoo,N,7,"['aard', '##go', '##o']",2,0.57
38,aardkil,N,7,"['aard', '##k', '##il']",2,0.57
39,aardraan,N,8,"['aard', '##ra', '##an']",2,0.62
40,aardsomst,N,9,"['aard', '##s', '##om', '##s', '##t']",4,0.44
41,aargrift,N,8,"['a', '##ar', '##g', '##rif', '##t']",4,0.38
42,aarhoop,N,7,"['a', '##ar', '##hoop']",2,0.57
43,aarjang,N,7,"['a', '##ar', '##jan', '##g']",3,0.43
44,aarlang,N,7,"['a', '##ar', '##lang']",2,0.57
45,aarnert,N,7,"['a', '##arne', '##r', '##t']",3,0.43
46,aarplag,N,7,"['a', '##ar', '##pla', '##g']",3,0.43
47,aarriens,N,8,"['a', '##ar', '##rie', '##n', '##s']",4,0.38
48,aarschaans,N,10,"['a', '##ars', '##cha', '##ans']",3,0.6
49,aarschein,N,9,"['a', '##ars', '##che', '##in']",3,0.56
50,aarsien,N,7,"['a', '##ars', '##i', '##en']",3,0.43
51,aarst,N,5,"['a', '##ars', '##t']",2,0.4
52,aarstands,N,9,"['a', '##ars', '##tand', '##s']",3,0.56
53,aartol,N,6,"['a', '##art', '##ol']",2,0.5
54,aarwel,N,6,"['a', '##ar', '##wel']",2,0.5
55,aarwouw,N,7,"['a', '##ar', '##wo', '##uw']",3,0.43
56,aat,N,3,"['a', '##at']",1,0.33
57,aatslas,N,7,"['a', '##at', '##s', '##las']",3,0.43
58,ab,N,2,['ab'],0,0.5
59,abant,N,5,"['ab', '##ant']",1,0.6
60,abbes,N,5,"['ab', '##bes']",1,0.6
61,abdent,N,6,"['ab', '##den', '##t']",2,0.5
62,abert,N,5,"['ab', '##er', '##t']",2,0.4
63,abras,N,5,"['ab', '##ras']",1,0.6
64,abree,N,5,"['ab', '##r', '##e', '##e']",3,0.2
65,absald,N,6,"['ab', '##s', '##ald']",2,0.5
