,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['▁a', '/', 'c']",2,0.0
1,aband,N,5,"['▁a', 'band']",1,0.6
2,abayed,N,6,"['▁', 'abay', 'ed']",2,0.5
3,abbear,N,6,"['▁a', 'bbe', 'ar']",2,0.5
4,abbears,N,7,"['▁a', 'bbe', 'ars']",2,0.57
5,abbens,N,6,"['▁a', 'bben', 's']",2,0.5
6,abchaim,N,7,"['▁ab', 'cha', 'im']",2,0.57
7,abects,N,6,"['▁ab', 'ect', 's']",2,0.5
8,abeme,N,5,"['▁ab', 'eme']",1,0.6
9,abents,N,6,"['▁ab', 'ents']",1,0.67
10,abests,N,6,"['▁a', 'best', 's']",2,0.5
11,abik,N,4,"['▁a', 'bik']",1,0.5
12,ablobs,N,6,"['▁a', 'blo', 'bs']",2,0.5
13,abme,N,4,"['▁ab', 'me']",1,0.5
14,abne,N,4,"['▁ab', 'ne']",1,0.5
15,abone,N,5,['▁abone'],0,0.8
16,abones,N,6,"['▁abone', 's']",1,0.67
17,abow,N,4,"['▁a', 'bow']",1,0.5
18,abran,N,5,"['▁a', 'bran']",1,0.6
19,abrass,N,6,"['▁a', 'bras', 's']",2,0.5
20,abrast,N,6,"['▁ab', 'rast']",1,0.67
21,abre,N,4,['▁abre'],0,0.75
22,abreeves,N,8,"['▁abre', 'eve', 's']",2,0.62
23,abroths,N,7,"['▁a', 'bro', 'th', 's']",3,0.43
24,abrush,N,6,"['▁ab', 'rush']",1,0.67
25,abscrict,N,8,"['▁ab', 'scri', 'ct']",2,0.62
26,abscue,N,6,"['▁abs', 'cu', 'e']",2,0.5
27,abscued,N,7,"['▁abs', 'cu', 'ed']",2,0.57
28,abscusts,N,8,"['▁abs', 'cus', 'ts']",2,0.62
29,absians,N,7,"['▁abs', 'ians']",1,0.71
30,absidge,N,7,"['▁ab', 'sid', 'ge']",2,0.57
31,absigned,N,8,"['▁ab', 'sign', 'ed']",2,0.62
32,absincts,N,8,"['▁abs', 'inc', 'ts']",2,0.62
