,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,"['aba', '##nd']",1,0.6
2,abayed,N,6,"['aba', '##yed']",1,0.67
3,abbear,N,6,"['ab', '##be', '##ar']",2,0.5
4,abbears,N,7,"['ab', '##be', '##ars']",2,0.57
5,abbens,N,6,"['ab', '##ben', '##s']",2,0.5
6,abchaim,N,7,"['abc', '##hai', '##m']",2,0.57
7,abects,N,6,"['abe', '##cts']",1,0.67
8,abeme,N,5,"['abe', '##me']",1,0.6
9,abents,N,6,"['abe', '##nts']",1,0.67
10,abests,N,6,"['abe', '##sts']",1,0.67
11,abik,N,4,"['ab', '##ik']",1,0.5
12,ablobs,N,6,"['ab', '##lo', '##bs']",2,0.5
13,abme,N,4,"['ab', '##me']",1,0.5
14,abne,N,4,"['ab', '##ne']",1,0.5
15,abone,N,5,"['ab', '##one']",1,0.6
16,abones,N,6,"['ab', '##ones']",1,0.67
17,abow,N,4,"['ab', '##ow']",1,0.5
18,abran,N,5,"['ab', '##ran']",1,0.6
19,abrass,N,6,"['ab', '##ras', '##s']",2,0.5
20,abrast,N,6,"['ab', '##ras', '##t']",2,0.5
21,abre,N,4,"['ab', '##re']",1,0.5
22,abreeves,N,8,"['ab', '##ree', '##ves']",2,0.62
23,abroths,N,7,"['ab', '##rot', '##hs']",2,0.57
24,abrush,N,6,"['ab', '##rus', '##h']",2,0.5
25,abscrict,N,8,"['abs', '##cr', '##ic', '##t']",3,0.5
26,abscue,N,6,"['abs', '##cu', '##e']",2,0.5
27,abscued,N,7,"['abs', '##cu', '##ed']",2,0.57
28,abscusts,N,8,"['abs', '##cus', '##ts']",2,0.62
29,absians,N,7,"['abs', '##ians']",1,0.71
30,absidge,N,7,"['abs', '##idge']",1,0.71
31,absigned,N,8,"['abs', '##ign', '##ed']",2,0.62
32,absincts,N,8,"['abs', '##in', '##cts']",2,0.62
33,absipsed,N,8,"['abs', '##ip', '##sed']",2,0.62
34,absirl,N,6,"['abs', '##ir', '##l']",2,0.5
