,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,aad,N,3,"['a', 'a', 'd']",2,0.0
1,aaf,N,3,"['a', 'a', 'f']",2,0.0
2,aagst,N,5,"['a', 'ag', 's', 't']",3,0.2
3,aakbeest,N,8,"['aak', 'be', 'est']",2,0.62
4,aakje,N,5,"['aak', 'je']",1,0.6
5,aaks,N,4,"['aak', 's']",1,0.5
6,aakst,N,5,"['aak', 's', 't']",2,0.4
7,aakwes,N,6,"['aak', 'we', 's']",2,0.5
8,aalde,N,5,"['a', 'al', 'de']",2,0.4
9,aalden,N,6,"['a', 'al', 'de', 'n']",3,0.33
10,aalder,N,6,"['a', 'al', 'de', 'r']",3,0.33
11,aalgees,N,7,"['a', 'al', 'ge', 'e', 's']",4,0.29
12,aanbok,N,6,"['aan', 'bok']",1,0.67
13,aanbol,N,6,"['aan', 'bol']",1,0.67
14,aand,N,4,"['a', 'and']",1,0.5
15,aandge,N,6,"['a', 'and', 'ge']",2,0.5
16,aangiep,N,7,"['aan', 'gie', 'p']",2,0.57
17,aankeen,N,7,"['aan', 'k', 'een']",2,0.57
18,aankeerd,N,8,"['aan', 'keer', 'd']",2,0.62
19,aankrast,N,8,"['aan', 'kra', 's', 't']",3,0.5
20,aankruig,N,8,"['aan', 'krui', 'g']",2,0.62
21,aannicht,N,8,"['aan', 'n', 'icht']",2,0.62
22,aannorst,N,8,"['aan', 'n', 'or', 's', 't']",4,0.38
23,aanpijk,N,7,"['aan', 'p', 'ij', 'k']",3,0.43
24,aanplok,N,7,"['aan', 'p', 'lo', 'k']",3,0.43
25,aanpunst,N,8,"['aan', 'p', 'un', 's', 't']",4,0.38
26,aanrof,N,6,"['aan', 'r', 'of']",2,0.5
27,aanrus,N,6,"['aan', 'rus']",1,0.67
28,aans,N,4,"['aan', 's']",1,0.5
29,aanschijk,N,9,"['aan', 's', 'c', 'hij', 'k']",4,0.44
30,aanschuw,N,8,"['aan', 's', 'chu', 'w']",3,0.5
31,aanstaam,N,8,"['aan', 's', 't', 'a', 'a', 'm']",5,0.25
32,aanveeldt,N,9,"['aan', 'veel', 'd', 't']",3,0.56
33,aanweer,N,7,"['aan', 'weer']",1,0.71
34,aanwid,N,6,"['aan', 'wi', 'd']",2,0.5
35,aarbracht,N,9,"['aar', 'bracht']",1,0.78
36,aarbrang,N,8,"['aar', 'b', 'rang']",2,0.62
37,aardgoo,N,7,"['aard', 'go', 'o']",2,0.57
38,aardkil,N,7,"['aard', 'k', 'il']",2,0.57
39,aardraan,N,8,"['aard', 'r', 'aan']",2,0.62
40,aardsomst,N,9,"['aard', 'soms', 't']",2,0.67
41,aargrift,N,8,"['aar', 'gri', 'f', 't']",3,0.5
42,aarhoop,N,7,"['aar', 'hoop']",1,0.71
43,aarjang,N,7,"['aar', 'jan', 'g']",2,0.57
44,aarlang,N,7,"['aar', 'lang']",1,0.71
45,aarnert,N,7,"['aar', 'n', 'er', 't']",3,0.43
46,aarplag,N,7,"['aar', 'p', 'la', 'g']",3,0.43
47,aarriens,N,8,"['a', 'arri', 'en', 's']",3,0.5
48,aarschaans,N,10,"['aar', 'sch', 'aan', 's']",3,0.6
49,aarschein,N,9,"['aar', 'sche', 'in']",2,0.67
50,aarsien,N,7,"['aar', 's', 'i', 'en']",3,0.43
51,aarst,N,5,"['aar', 's', 't']",2,0.4
52,aarstands,N,9,"['aar', 'stands']",1,0.78
53,aartol,N,6,"['aar', 'to', 'l']",2,0.5
54,aarwel,N,6,"['aar', 'wel']",1,0.67
55,aarwouw,N,7,"['aar', 'wou', 'w']",2,0.57
56,aat,N,3,"['a', 'a', 't']",2,0.0
57,aatslas,N,7,"['a', 'a', 't', 's', 'las']",4,0.29
58,ab,N,2,"['a', 'b']",1,0.0
59,abant,N,5,"['aban', 't']",1,0.6
60,abbes,N,5,"['a', 'b', 'be', 's']",3,0.2
61,abdent,N,6,"['a', 'b', 'd', 'ent']",3,0.33
62,abert,N,5,"['a', 'bert']",1,0.6
63,abras,N,5,"['a', 'bras']",1,0.6
64,abree,N,5,"['abre', 'e']",1,0.6
65,absald,N,6,"['a', 'b', 's', 'al', 'd']",4,0.17
66,absept,N,6,"['a', 'b', 'sept']",2,0.5
67,abstrelt,N,8,"['a', 'b', 's', 't', 'r', 'el', 't']",6,0.12
68,abte,N,4,"['a', 'b', 't', 'e']",3,0.0
69,achterds,N,8,"['achter', 'd', 's']",2,0.62
70,achtjaan,N,8,"['acht', 'j', 'aan']",2,0.62
71,achts,N,5,"['acht', 's']",1,0.6
72,acool,N,5,"['a', 'cool']",1,0.6
73,acteept,N,7,"['acte', 'e', 'p', 't']",3,0.43
74,aden,N,4,"['a', 'de', 'n']",2,0.25
75,adgent,N,6,"['a', 'd', 'gen', 't']",3,0.33
76,adhees,N,6,"['a', 'd', 'he', 'e', 's']",4,0.17
77,adim,N,4,"['a', 'd', 'i', 'm']",3,0.0
78,adit,N,4,"['a', 'dit']",1,0.5
79,adooi,N,5,"['ado', 'o', 'i']",2,0.4
80,adrak,N,5,"['a', 'd', 'rak']",2,0.4
81,adries,N,6,"['a', 'drie', 's']",2,0.5
82,aduus,N,5,"['a', 'du', 'u', 's']",3,0.2
83,adwel,N,5,"['a', 'd', 'wel']",2,0.4
84,adzie,N,5,"['a', 'd', 'zie']",2,0.4
85,aeik,N,4,"['a', 'e', 'ik']",2,0.25
86,afbinst,N,7,"['a', 'f', 'b', 'in', 's', 't']",5,0.14
87,afbrenk,N,7,"['a', 'f', 'bre', 'n', 'k']",4,0.29
88,afdrijk,N,7,"['a', 'f', 'd', 'rijk']",3,0.43
89,afdrook,N,7,"['a', 'f', 'd', 'r', 'ook']",4,0.29
90,afes,N,4,"['a', 'f', 'e', 's']",3,0.0
91,afgas,N,5,"['a', 'f', 'gas']",2,0.4
92,afhoen,N,6,"['a', 'f', 'hoe', 'n']",3,0.33
93,afhoer,N,6,"['a', 'f', 'hoe', 'r']",3,0.33
94,afmoer,N,6,"['a', 'f', 'mo', 'er']",3,0.33
95,afmorst,N,7,"['a', 'f', 'mor', 's', 't']",4,0.29
96,afschef,N,7,"['a', 'f', 's', 'chef']",3,0.43
97,aftacht,N,7,"['a', 'f', 't', 'acht']",3,0.43
98,aftad,N,5,"['a', 'f', 't', 'a', 'd']",4,0.0
99,aftijn,N,6,"['a', 'f', 't', 'ijn']",3,0.33
100,afuun,N,5,"['a', 'fu', 'un']",2,0.4
101,afwers,N,6,"['a', 'f', 'wer', 's']",3,0.33
102,ag,N,2,['ag'],0,0.5
103,aghu,N,4,"['agh', 'u']",1,0.5
104,aghu's,N,6,"['agh', 'u', ""'"", 's']",3,0.33
105,agi,N,3,['agi'],0,0.67
106,ahs,N,3,"['a', 'h', 's']",2,0.0
107,aillan,N,6,"['a', 'il', 'la', 'n']",3,0.33
108,ain,N,3,"['a', 'in']",1,0.33
109,ak,N,2,"['a', 'k']",1,0.0
110,ake,N,3,['ake'],0,0.67
111,akhums,N,6,"['a', 'k', 'hum', 's']",3,0.33
112,akind,N,5,"['a', 'kind']",1,0.6
113,akkeeld,N,7,"['a', 'kke', 'el', 'd']",3,0.43
114,akkent,N,6,"['akken', 't']",1,0.67
115,akloop,N,6,"['a', 'k', 'loop']",2,0.5
116,akse,N,4,"['a', 'k', 's', 'e']",3,0.0
117,akter,N,5,"['a', 'k', 'ter']",2,0.4
118,akwal,N,5,"['a', 'kwa', 'l']",2,0.4
119,alars,N,5,"['al', 'ar', 's']",2,0.4
120,albecht,N,7,"['al', 'b', 'echt']",2,0.57
121,alde,N,4,"['al', 'de']",1,0.5
122,aldenkt,N,7,"['al', 'denkt']",1,0.71
123,alders,N,6,"['al', 'de', 'r', 's']",3,0.33
124,aldes,N,5,"['al', 'de', 's']",2,0.4
125,aleem,N,5,"['a', 'le', 'e', 'm']",3,0.2
126,alerf,N,5,"['al', 'er', 'f']",2,0.4
127,alfaar,N,6,"['al', 'f', 'aar']",2,0.5
128,alfjaar,N,7,"['al', 'f', 'jaar']",2,0.57
129,algang,N,6,"['al', 'gang']",1,0.67
130,algel,N,5,"['al', 'gel']",1,0.6
131,algoei,N,6,"['algo', 'e', 'i']",2,0.5
132,alhom,N,5,"['al', 'h', 'om']",2,0.4
133,almeid,N,6,"['al', 'me', 'i', 'd']",3,0.33
134,almes,N,5,"['al', 'mes']",1,0.6
135,alteems,N,7,"['al', 't', 'e', 'e', 'm', 's']",5,0.14
136,altisch,N,7,"['al', 't', 'isch']",2,0.57
137,alvang,N,6,"['al', 'van', 'g']",2,0.5
138,alve,N,4,"['al', 've']",1,0.5
139,alvier,N,6,"['al', 'vier']",1,0.67
140,ambtaan,N,7,"['ambt', 'aan']",1,0.71
141,ame,N,3,"['a', 'me']",1,0.33
142,amfer,N,5,"['a', 'm', 'fer']",2,0.4
143,amliep,N,6,"['a', 'm', 'liep']",2,0.5
144,amme,N,4,"['a', 'm', 'me']",2,0.25
145,ammer,N,5,"['a', 'm', 'mer']",2,0.4
146,amnaan,N,6,"['a', 'm', 'n', 'aan']",3,0.33
147,amoen,N,5,"['a', 'mo', 'en']",2,0.4
148,ampkrag,N,7,"['amp', 'kra', 'g']",2,0.57
149,ampkrig,N,7,"['amp', 'k', 'rig']",2,0.57
150,amplaas,N,7,"['amp', 'la', 'a', 's']",3,0.43
151,ampland,N,7,"['amp', 'land']",1,0.71
152,amret,N,5,"['a', 'm', 're', 't']",3,0.2
153,ams,N,3,"['a', 'm', 's']",2,0.0
154,amschaak,N,8,"['a', 'm', 'sch', 'aak']",3,0.5
155,amslaan,N,7,"['a', 'm', 'slaan']",2,0.57
156,amstuk,N,6,"['a', 'm', 'stuk']",2,0.5
157,amtrand,N,7,"['a', 'm', 't', 'r', 'and']",4,0.29
158,amvocht,N,7,"['a', 'm', 'vocht']",2,0.57
159,anam,N,4,"['a', 'nam']",1,0.5
160,anda,N,4,"['and', 'a']",1,0.5
