Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
aad,N,3,"['a', 'a', 'd']",2,0.0,628.03,0.95
aaf,N,3,"['a', 'a', 'f']",2,0.0,586.11,1.0
aagst,N,5,"['a', 'ag', 's', 't']",3,0.2,746.65,0.9
aakbeest,N,8,"['aak', 'be', 'est']",2,0.62,600.92,1.0
aakje,N,5,"['aak', 'je']",1,0.6,631.08,0.97
aaks,N,4,"['aak', 's']",1,0.5,623.64,0.97
aakst,N,5,"['aak', 's', 't']",2,0.4,603.72,1.0
aakwes,N,6,"['aak', 'we', 's']",2,0.5,603.21,1.0
aalde,N,5,"['a', 'al', 'de']",2,0.4,708.89,0.95
aalden,N,6,"['a', 'al', 'de', 'n']",3,0.33,723.83,0.9
aalder,N,6,"['a', 'al', 'de', 'r']",3,0.33,616.25,0.92
aalgees,N,7,"['a', 'al', 'ge', 'e', 's']",4,0.29,632.65,0.97
aanbok,N,6,"['aan', 'bok']",1,0.67,757.44,0.9
aanbol,N,6,"['aan', 'bol']",1,0.67,732.24,0.92
aand,N,4,"['a', 'and']",1,0.5,597.79,1.0
aandge,N,6,"['a', 'and', 'ge']",2,0.5,609.87,1.0
aangiep,N,7,"['aan', 'gie', 'p']",2,0.57,709.32,1.0
aankeen,N,7,"['aan', 'k', 'een']",2,0.57,613.69,1.0
aankeerd,N,8,"['aan', 'keer', 'd']",2,0.62,711.68,0.9
aankrast,N,8,"['aan', 'kra', 's', 't']",3,0.5,738.13,0.92
aankruig,N,8,"['aan', 'krui', 'g']",2,0.62,667.62,0.97
aannicht,N,8,"['aan', 'n', 'ich', 't']",3,0.5,663.67,0.95
aannorst,N,8,"['aan', 'n', 'or', 's', 't']",4,0.38,605.54,0.97
aanpijk,N,7,"['aan', 'p', 'ij', 'k']",3,0.43,665.82,0.97
aanplok,N,7,"['aan', 'p', 'lo', 'k']",3,0.43,651.29,1.0
aanpunst,N,8,"['aan', 'p', 'un', 's', 't']",4,0.38,678.82,0.97
aanrof,N,6,"['aan', 'r', 'of']",2,0.5,650.0,0.92
aanrus,N,6,"['aan', 'rus']",1,0.67,676.21,1.0
aans,N,4,"['aan', 's']",1,0.5,664.76,0.97
aanschijk,N,9,"['aan', 's', 'c', 'hij', 'k']",4,0.44,719.69,0.92
aanschuw,N,8,"['aan', 's', 'chu', 'w']",3,0.5,821.53,0.51
aanstaam,N,8,"['aan', 's', 't', 'a', 'a', 'm']",5,0.25,759.37,0.92
aanveeldt,N,9,"['aan', 'veel', 'd', 't']",3,0.56,650.22,0.97
aanweer,N,7,"['aan', 'weer']",1,0.71,744.73,0.67
aanwid,N,6,"['aan', 'wi', 'd']",2,0.5,675.67,0.95
aarbracht,N,9,"['aar', 'bracht']",1,0.78,721.68,0.9
aarbrang,N,8,"['aar', 'b', 'rang']",2,0.62,654.41,1.0
aardgoo,N,7,"['aard', 'go', 'o']",2,0.57,602.69,1.0
aardkil,N,7,"['aard', 'k', 'il']",2,0.57,693.97,0.97
aardraan,N,8,"['aard', 'r', 'aan']",2,0.62,650.18,0.97
aardsomst,N,9,"['aard', 'soms', 't']",2,0.67,730.62,0.97
aargrift,N,8,"['aar', 'gri', 'f', 't']",3,0.5,692.14,0.97
aarhoop,N,7,"['aar', 'hoop']",1,0.71,622.44,1.0
aarjang,N,7,"['aar', 'jan', 'g']",2,0.57,632.44,1.0
aarlang,N,7,"['aar', 'lang']",1,0.71,665.16,0.97
aarnert,N,7,"['aar', 'n', 'er', 't']",3,0.43,596.28,1.0
aarplag,N,7,"['aar', 'p', 'la', 'g']",3,0.43,632.7,1.0
aarriens,N,8,"['a', 'arri', 'en', 's']",3,0.5,621.05,1.0
aarschaans,N,10,"['aar', 'sch', 'aan', 's']",3,0.6,661.54,1.0
aarschein,N,9,"['aar', 'sche', 'in']",2,0.67,634.5,1.0
aarsien,N,7,"['aar', 's', 'i', 'en']",3,0.43,611.68,0.97
aarst,N,5,"['aar', 's', 't']",2,0.4,729.37,0.92
aarstands,N,9,"['aar', 'stand', 's']",2,0.67,711.67,0.95
aartol,N,6,"['aar', 'to', 'l']",2,0.5,620.03,1.0
aarwel,N,6,"['aar', 'wel']",1,0.67,703.46,1.0
aarwouw,N,7,"['aar', 'w', 'ou', 'w']",3,0.43,633.72,1.0
aat,N,3,"['a', 'a', 't']",2,0.0,704.59,1.0
aatslas,N,7,"['a', 'a', 't', 's', 'las']",4,0.29,584.35,1.0
ab,N,2,"['a', 'b']",1,0.0,626.21,0.9
abant,N,5,"['aban', 't']",1,0.6,607.64,1.0
abbes,N,5,"['a', 'b', 'be', 's']",3,0.2,600.85,1.0
abdent,N,6,"['a', 'b', 'd', 'ent']",3,0.33,654.71,0.97
abert,N,5,"['a', 'bert']",1,0.6,643.87,1.0
abras,N,5,"['a', 'bras']",1,0.6,652.55,0.92
abree,N,5,"['abre', 'e']",1,0.6,586.86,0.95
absald,N,6,"['a', 'b', 's', 'al', 'd']",4,0.17,628.39,1.0
absept,N,6,"['a', 'b', 'sept']",2,0.5,688.09,0.95
abstrelt,N,8,"['a', 'b', 's', 't', 'r', 'el', 't']",6,0.12,609.56,1.0
abte,N,4,"['a', 'b', 't', 'e']",3,0.0,734.35,0.74
achterds,N,8,"['achter', 'd', 's']",2,0.62,752.47,1.0
achtjaan,N,8,"['acht', 'j', 'aan']",2,0.62,744.0,0.97
achts,N,5,"['acht', 's']",1,0.6,836.83,0.62
acool,N,5,"['a', 'cool']",1,0.6,664.28,1.0
acteept,N,7,"['acte', 'e', 'p', 't']",3,0.43,702.38,0.97
aden,N,4,"['a', 'de', 'n']",2,0.25,672.87,1.0
adgent,N,6,"['a', 'd', 'gen', 't']",3,0.33,630.36,1.0
adhees,N,6,"['a', 'd', 'he', 'e', 's']",4,0.17,575.28,1.0
adim,N,4,"['a', 'd', 'i', 'm']",3,0.0,547.87,1.0
adit,N,4,"['a', 'dit']",1,0.5,579.64,1.0
adooi,N,5,"['ado', 'o', 'i']",2,0.4,594.79,1.0
adrak,N,5,"['a', 'd', 'rak']",2,0.4,601.28,1.0
adries,N,6,"['a', 'drie', 's']",2,0.5,693.78,0.97
aduus,N,5,"['a', 'du', 'u', 's']",3,0.2,600.36,0.95
adwel,N,5,"['a', 'd', 'wel']",2,0.4,583.08,1.0
adzie,N,5,"['a', 'd', 'zie']",2,0.4,575.54,1.0
aeik,N,4,"['a', 'e', 'ik']",2,0.25,562.31,1.0
afbinst,N,7,"['a', 'f', 'b', 'in', 's', 't']",5,0.14,627.59,1.0
afbrenk,N,7,"['a', 'f', 'bre', 'n', 'k']",4,0.29,696.62,0.95
afdrijk,N,7,"['a', 'f', 'd', 'rijk']",3,0.43,661.08,0.97
afdrook,N,7,"['a', 'f', 'd', 'r', 'ook']",4,0.29,686.81,0.9
afes,N,4,"['a', 'f', 'e', 's']",3,0.0,576.65,0.97
afgas,N,5,"['a', 'f', 'gas']",2,0.4,772.74,0.87
afhoen,N,6,"['a', 'f', 'ho', 'en']",3,0.33,628.55,1.0
afhoer,N,6,"['a', 'f', 'hoe', 'r']",3,0.33,685.88,0.92
afmoer,N,6,"['a', 'f', 'mo', 'er']",3,0.33,654.31,0.95
afmorst,N,7,"['a', 'f', 'mor', 's', 't']",4,0.29,648.33,0.9
afschef,N,7,"['a', 'f', 's', 'chef']",3,0.43,706.43,0.9
aftacht,N,7,"['a', 'f', 't', 'acht']",3,0.43,677.84,0.95
aftad,N,5,"['a', 'f', 't', 'a', 'd']",4,0.0,645.78,0.95
aftijn,N,6,"['a', 'f', 't', 'ijn']",3,0.33,620.82,1.0
afuun,N,5,"['a', 'fu', 'un']",2,0.4,558.21,1.0
afwers,N,6,"['a', 'f', 'wer', 's']",3,0.33,673.08,1.0
ag,N,2,['ag'],0,0.5,588.87,1.0
aghu,N,4,"['ag', 'h', 'u']",2,0.25,536.41,1.0
aghu's,N,6,"['ag', 'h', 'u', ""'"", 's']",4,0.17,560.44,1.0
agi,N,3,['agi'],0,0.67,561.87,0.97
ahs,N,3,"['a', 'h', 's']",2,0.0,550.0,1.0
aillan,N,6,"['a', 'il', 'la', 'n']",3,0.33,585.59,1.0
ain,N,3,"['a', 'in']",1,0.33,569.92,1.0
ak,N,2,"['a', 'k']",1,0.0,639.78,0.95
ake,N,3,['ake'],0,0.67,612.61,0.97
akhums,N,6,"['a', 'k', 'hum', 's']",3,0.33,583.44,1.0
akind,N,5,"['a', 'kind']",1,0.6,563.89,1.0
akkeeld,N,7,"['a', 'kke', 'el', 'd']",3,0.43,594.95,1.0
akkent,N,6,"['akken', 't']",1,0.67,620.95,0.97
akloop,N,6,"['a', 'k', 'loop']",2,0.5,609.03,1.0
akse,N,4,"['a', 'k', 's', 'e']",3,0.0,638.44,1.0
akter,N,5,"['a', 'k', 'ter']",2,0.4,697.32,0.92
akwal,N,5,"['a', 'k', 'w', 'al']",3,0.2,576.24,0.97
alars,N,5,"['al', 'ar', 's']",2,0.4,634.65,0.95
albecht,N,7,"['al', 'b', 'echt']",2,0.57,648.26,0.97
alde,N,4,"['al', 'de']",1,0.5,572.21,1.0
