,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,sometrais,N,9,"['som', 'et', 'rais']",2,0.67
1,vetucoution,N,11,"['vet', 'u', 'cou', 'tion']",3,0.64
2,heusenreil,N,10,"['he', 'us', 'en', 're', 'il']",4,0.5
3,lanmin,N,6,"['lan', 'min']",1,0.67
4,peités,N,6,"['pe', 'ités']",1,0.67
5,fatichée,N,8,"['fati', 'chée']",1,0.75
6,ainrir,N,6,"['ain', 'rir']",1,0.67
7,guevillors,N,10,"['gue', 'vil', 'lors']",2,0.7
8,injourment,N,10,"['in', 'jour', 'ment']",2,0.7
9,ancotemps,N,9,"['an', 'co', 'temps']",2,0.67
10,osatrome,N,8,"['osa', 'tr', 'ome']",2,0.62
11,tengeur,N,7,"['ten', 'ge', 'ur']",2,0.57
12,trouliré,N,8,"['trou', 'li', 'ré']",2,0.62
13,ruitreste,N,9,"['ru', 'it', 'reste']",2,0.67
14,cettirait,N,9,"['cet', 'tirait']",1,0.78
15,lacupatraidais,N,14,"['la', 'cu', 'pa', 'trai', 'dais']",4,0.64
16,marbruns,N,8,"['mar', 'bruns']",1,0.75
17,decicrirains,N,12,"['de', 'ci', 'cri', 'rains']",3,0.67
18,tuntourcarse,N,12,"['tun', 'tour', 'car', 'se']",3,0.67
19,facrétrer,N,9,"['fac', 'ré', 'trer']",2,0.67
20,étontribles,N,11,"['éton', 'tri', 'bles']",2,0.73
21,fidiencote,N,10,"['fi', 'dien', 'cote']",2,0.7
22,avero,N,5,"['aver', 'o']",1,0.6
23,chasertion,N,10,"['ch', 'aser', 'tion']",2,0.7
24,choroqueux,N,10,"['chor', 'oque', 'ux']",2,0.7
25,oumisjorivre,N,12,"['ou', 'mis', 'j', 'ori', 'vre']",4,0.58
26,arreutuce,N,9,"['arre', 'utu', 'ce']",2,0.67
27,letron,N,6,"['le', 'tron']",1,0.67
28,repole,N,6,"['re', 'pole']",1,0.67
29,dannonser,N,9,"['d', 'annon', 'ser']",2,0.67
30,tiléle,N,6,"['ti', 'lé', 'le']",2,0.5
31,seutrevait,N,10,"['seu', 'tre', 'vait']",2,0.7
32,deterserpas,N,11,"['de', 'ter', 'ser', 'pas']",3,0.64
33,fortervailtrée,N,14,"['forter', 'vail', 'trée']",2,0.79
34,grillevicter,N,12,"['grille', 'vic', 'ter']",2,0.75
35,phriable,N,8,"['ph', 'ri', 'able']",2,0.62
36,reure,N,5,"['re', 'ure']",1,0.6
37,jaché,N,5,"['ja', 'ché']",1,0.6
38,insnité,N,7,"['ins', 'nité']",1,0.71
39,goscepolors,N,11,"['gos', 'ce', 'po', 'lors']",3,0.64
40,cailtitaient,N,12,"['cail', 'ti', 'taient']",2,0.75
41,beaufitete,N,10,"['beau', 'fit', 'ete']",2,0.7
42,pépontes,N,8,"['pé', 'pont', 'es']",2,0.62
43,oturbangarme,N,12,"['ot', 'urb', 'ang', 'arme']",3,0.67
44,épite,N,5,"['épi', 'te']",1,0.6
45,rutier,N,6,"['ru', 'tier']",1,0.67
46,jeutodroits,N,11,"['jeu', 'to', 'droits']",2,0.73
47,berrovanais,N,11,"['ber', 'ro', 'van', 'ais']",3,0.64
48,exulpatolors,N,12,"['ex', 'ul', 'pat', 'ol', 'ors']",4,0.58
49,astatiens,N,9,"['asta', 'tiens']",1,0.78
50,favernais,N,9,"['fav', 'er', 'nais']",2,0.67
51,ivangé,N,6,"['i', 'van', 'gé']",2,0.5
52,lettupes,N,8,"['let', 'tu', 'pes']",2,0.62
53,chotire,N,7,"['ch', 'oti', 're']",2,0.57
54,sacouvoyer,N,10,"['sac', 'ouv', 'oyer']",2,0.7
55,prélentin,N,9,"['pré', 'len', 'tin']",2,0.67
56,sounister,N,9,"['sou', 'nis', 'ter']",2,0.67
57,sotercachetase,N,14,"['so', 'ter', 'cachet', 'ase']",3,0.71
58,soucoulias,N,10,"['sou', 'cou', 'lias']",2,0.7
59,parcoution,N,10,"['par', 'cou', 'tion']",2,0.7
60,heucodre,N,8,"['h', 'eu', 'co', 'dre']",3,0.5
61,tupaireux,N,9,"['tu', 'paire', 'ux']",2,0.67
62,pourpreme,N,9,"['pour', 'pre', 'me']",2,0.67
63,coucierleurs,N,12,"['cou', 'cier', 'leurs']",2,0.75
64,afirait,N,7,"['afi', 'rait']",1,0.71
65,gerecce,N,7,"['ge', 'rec', 'ce']",2,0.57
66,reba,N,4,"['re', 'ba']",1,0.5
67,asacienlite,N,11,"['asa', 'cien', 'lite']",2,0.73
68,queltés,N,7,"['quel', 'tés']",1,0.71
69,jourtaildait,N,12,"['jour', 'tail', 'dait']",2,0.75
70,bonglivitiles,N,13,"['bon', 'g', 'li', 'vi', 'tiles']",4,0.62
71,famaiterla,N,10,"['fam', 'ait', 'er', 'la']",3,0.6
72,pacivrit,N,8,"['paci', 'v', 'rit']",2,0.62
73,tencousait,N,10,"['ten', 'cous', 'ait']",2,0.7
74,prositre,N,8,"['pro', 'sit', 're']",2,0.62
75,jourgnapeur,N,11,"['jour', 'gn', 'apeur']",2,0.73
76,esticonché,N,10,"['esti', 'con', 'ché']",2,0.7
77,cetterser,N,9,"['cet', 'ter', 'ser']",2,0.67
78,pudédaient,N,10,"['pu', 'dé', 'daient']",2,0.7
79,mistilivere,N,11,"['mis', 'ti', 'live', 're']",3,0.64
80,dischoirer,N,10,"['dis', 'ch', 'oi', 'rer']",3,0.6
81,faisasonvers,N,12,"['fais', 'ason', 'vers']",2,0.75
82,oudin,N,5,"['ou', 'din']",1,0.6
83,forporsé,N,8,"['for', 'por', 'sé']",2,0.62
84,soural,N,6,"['sour', 'al']",1,0.67
85,écendis,N,7,"['éc', 'end', 'is']",2,0.57
86,cisissers,N,9,"['cis', 'is', 'sers']",2,0.67
87,jeuvamiève,N,10,"['jeu', 'v', 'ami', 'ève']",3,0.6
88,trounsion,N,9,"['tr', 'oun', 'sion']",2,0.67
89,bres,N,4,['bres'],0,0.75
90,vasonges,N,8,"['vas', 'on', 'ges']",2,0.62
91,faitotes,N,8,"['fait', 'otes']",1,0.75
92,ciciéra,N,7,"['ci', 'cié', 'ra']",2,0.57
93,libriver,N,8,"['lib', 'river']",1,0.75
94,traplisi,N,8,"['tra', 'plis', 'i']",2,0.62
95,détemire,N,8,"['déte', 'mire']",1,0.75
96,lecterte,N,8,"['lec', 'ter', 'te']",2,0.62
97,hiperer,N,7,"['hi', 'pe', 'rer']",2,0.57
98,scrondre,N,8,"['s', 'cron', 'dre']",2,0.62
99,mourotte,N,8,"['mour', 'otte']",1,0.75
100,heuprivrit,N,10,"['h', 'eu', 'pri', 'v', 'rit']",4,0.5
101,forsire,N,7,"['for', 'si', 're']",2,0.57
102,timentalsait,N,12,"['ti', 'mental', 'sait']",2,0.75
103,laistroude,N,10,"['lais', 'trou', 'de']",2,0.7
104,courseaux,N,9,"['course', 'aux']",1,0.78
105,repéfois,N,8,"['repé', 'fois']",1,0.75
106,icires,N,6,"['ici', 'res']",1,0.67
107,laismique,N,9,"['lais', 'mique']",1,0.78
108,capiers,N,7,"['cap', 'iers']",1,0.71
109,dertoitivant,N,12,"['der', 'toi', 'tiv', 'ant']",3,0.67
110,blouer,N,6,"['b', 'louer']",1,0.67
111,miléle,N,6,"['mil', 'éle']",1,0.67
112,vicouvres,N,9,"['vic', 'ouv', 'res']",2,0.67
113,filmantion,N,10,"['fil', 'man', 'tion']",2,0.7
114,misparseil,N,10,"['mis', 'par', 'seil']",2,0.7
115,paltoilélée,N,11,"['pal', 'to', 'ilé', 'lée']",3,0.64
116,aimencatait,N,11,"['ai', 'men', 'cat', 'ait']",3,0.64
117,tersitit,N,8,"['ter', 'si', 'tit']",2,0.62
118,ausitemps,N,9,"['au', 'si', 'temps']",2,0.67
119,sesenrige,N,9,"['ses', 'enri', 'ge']",2,0.67
120,ofavec,N,6,"['of', 'avec']",1,0.67
121,froce,N,5,"['fro', 'ce']",1,0.6
122,sogatait,N,8,"['so', 'gat', 'ait']",2,0.62
123,infences,N,8,"['inf', 'ences']",1,0.75
124,laneloment,N,10,"['lan', 'el', 'om', 'ent']",3,0.6
125,vilmiche,N,8,"['vil', 'mi', 'che']",2,0.62
126,peudait,N,7,"['peu', 'dait']",1,0.71
127,voconral,N,8,"['vo', 'con', 'ral']",2,0.62
128,autames,N,7,"['aut', 'ames']",1,0.71
129,garmation,N,9,"['gar', 'mation']",1,0.78
130,aupomet,N,7,"['au', 'pom', 'et']",2,0.57
131,pautigneux,N,10,"['pau', 'ti', 'gne', 'ux']",3,0.6
132,prelése,N,7,"['pre', 'lé', 'se']",2,0.57
133,enretiendis,N,11,"['en', 'reti', 'end', 'is']",3,0.64
134,inschebinion,N,12,"['ins', 'che', 'bin', 'ion']",3,0.67
135,vitin,N,5,"['vi', 'tin']",1,0.6
136,probarral,N,9,"['prob', 'ar', 'ral']",2,0.67
137,mamonre,N,7,"['mam', 'on', 're']",2,0.57
138,atessorson,N,10,"['ates', 'sor', 'son']",2,0.7
139,disforte,N,8,"['dis', 'forte']",1,0.75
140,brion,N,5,"['bri', 'on']",1,0.6
141,sariosent,N,9,"['s', 'arios', 'ent']",2,0.67
142,retatites,N,9,"['re', 'ta', 'ti', 'tes']",3,0.56
143,ferfime,N,7,"['fer', 'fi', 'me']",2,0.57
144,effil,N,5,"['eff', 'il']",1,0.6
145,schuille,N,8,"['s', 'chu', 'ille']",2,0.62
146,buniment,N,8,"['b', 'uni', 'ment']",2,0.62
147,frintrova,N,9,"['fr', 'in', 'tro', 'va']",3,0.56
148,vesciable,N,9,"['ves', 'ci', 'able']",2,0.67
149,gafice,N,6,"['ga', 'fice']",1,0.67
150,monconjuste,N,11,"['mon', 'con', 'juste']",2,0.73
151,têtisi,N,6,"['t', 'ê', 'ti', 'si']",3,0.33
152,obterle,N,7,"['ob', 'ter', 'le']",2,0.57
153,glac,N,4,"['g', 'lac']",1,0.5
154,racriprès,N,9,"['rac', 'ri', 'près']",2,0.67
155,rérassasmatrage,N,15,"['ré', 'r', 'ass', 'as', 'ma', 'trage']",5,0.6
156,forailais,N,9,"['for', 'ail', 'ais']",2,0.67
157,fairitente,N,10,"['fai', 'rit', 'ente']",2,0.7
158,blestatontarment,N,16,"['bles', 'tat', 'ontar', 'ment']",3,0.75
159,acirais,N,7,"['a', 'cir', 'ais']",2,0.57
160,peudiment,N,9,"['peu', 'di', 'ment']",2,0.67
161,bapsait,N,7,"['bap', 'sait']",1,0.71
162,sénes,N,5,"['sé', 'nes']",1,0.6
163,détiner,N,7,"['dé', 'ti', 'ner']",2,0.57
164,pleutismes,N,10,"['pleu', 'tis', 'mes']",2,0.7
165,letrititains,N,12,"['le', 'tri', 'tit', 'ains']",3,0.67
166,chertrante,N,10,"['cher', 'trante']",1,0.8
167,aptenvec,N,8,"['ap', 'ten', 'vec']",2,0.62
168,sacontintres,N,12,"['sa', 'contin', 'tres']",2,0.75
169,nonirs,N,6,"['non', 'irs']",1,0.67
170,fése,N,4,"['fé', 'se']",1,0.5
171,gordulme,N,8,"['gor', 'dul', 'me']",2,0.62
172,arsenses,N,8,"['arsen', 'ses']",1,0.75
173,parcite,N,7,"['par', 'cite']",1,0.71
174,alirait,N,7,"['al', 'irait']",1,0.71
175,discometemps,N,12,"['dis', 'com', 'et', 'emp', 's']",4,0.58
176,découterdir,N,11,"['décou', 'ter', 'dir']",2,0.73
177,préconvait,N,10,"['précon', 'vait']",1,0.8
178,réhaimoigues,N,12,"['ré', 'hai', 'moi', 'gues']",3,0.67
179,enchique,N,8,"['ench', 'ique']",1,0.75
180,épornir,N,7,"['é', 'por', 'nir']",2,0.57
181,ensendies,N,9,"['ens', 'en', 'dies']",2,0.67
182,distilmionde,N,12,"['distil', 'mi', 'onde']",2,0.75
183,criscomarfaité,N,14,"['cris', 'com', 'ar', 'fai', 'té']",4,0.64
184,gorcouprit,N,10,"['gor', 'cou', 'prit']",2,0.7
185,gonels,N,6,"['gon', 'els']",1,0.67
186,fouveilser,N,10,"['f', 'ouve', 'il', 'ser']",3,0.6
187,heuver,N,6,"['h', 'eu', 'ver']",2,0.5
188,demantat,N,8,"['de', 'mant', 'at']",2,0.62
189,nomsa,N,5,"['nom', 'sa']",1,0.6
190,pasporsons,N,10,"['pas', 'por', 'sons']",2,0.7
191,achargéser,N,10,"['achar', 'gés', 'er']",2,0.7
192,serlait,N,7,"['ser', 'lait']",1,0.71
193,voumolent,N,9,"['vou', 'mol', 'ent']",2,0.67
194,pisèchais,N,9,"['pis', 'è', 'chais']",2,0.67
195,procipreçon,N,11,"['pro', 'ci', 'pre', 'çon']",3,0.64
196,raster,N,6,"['ras', 'ter']",1,0.67
197,malére,N,6,"['mal', 'ére']",1,0.67
198,camilderait,N,11,"['cam', 'il', 'der', 'ait']",3,0.64
199,somoutit,N,8,"['som', 'outi', 't']",2,0.62
200,prenner,N,7,"['pren', 'ner']",1,0.71
