,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,"['ab', '##and']",1,0.6
2,abayed,N,6,"['ab', '##aye', '##d']",2,0.5
3,abbear,N,6,"['ab', '##bea', '##r']",2,0.5
4,abbears,N,7,"['ab', '##bea', '##rs']",2,0.57
5,abbens,N,6,"['ab', '##bens']",1,0.67
6,abchaim,N,7,"['ab', '##cha', '##im']",2,0.57
7,abects,N,6,"['ab', '##ect', '##s']",2,0.5
8,abeme,N,5,"['ab', '##eme']",1,0.6
9,abents,N,6,"['ab', '##ents']",1,0.67
10,abests,N,6,"['ab', '##est', '##s']",2,0.5
11,abik,N,4,"['ab', '##ik']",1,0.5
12,ablobs,N,6,"['ab', '##lob', '##s']",2,0.5
13,abme,N,4,"['ab', '##me']",1,0.5
14,abne,N,4,"['ab', '##ne']",1,0.5
15,abone,N,5,"['ab', '##one']",1,0.6
16,abones,N,6,"['ab', '##ones']",1,0.67
17,abow,N,4,"['ab', '##ow']",1,0.5
18,abran,N,5,"['ab', '##ran']",1,0.6
19,abrass,N,6,"['ab', '##ras', '##s']",2,0.5
20,abrast,N,6,"['ab', '##ras', '##t']",2,0.5
21,abre,N,4,['abre'],0,0.75
22,abreeves,N,8,"['abre', '##eves']",1,0.75
23,abroths,N,7,"['ab', '##roth', '##s']",2,0.57
24,abrush,N,6,"['ab', '##rush']",1,0.67
25,abscrict,N,8,"['ab', '##sc', '##ric', '##t']",3,0.5
26,abscue,N,6,"['ab', '##scu', '##e']",2,0.5
27,abscued,N,7,"['ab', '##scu', '##ed']",2,0.57
28,abscusts,N,8,"['ab', '##scus', '##ts']",2,0.62
29,absians,N,7,"['ab', '##sian', '##s']",2,0.57
30,absidge,N,7,"['ab', '##sid', '##ge']",2,0.57
31,absigned,N,8,"['ab', '##sig', '##ned']",2,0.62
32,absincts,N,8,"['ab', '##sin', '##cts']",2,0.62
33,absipsed,N,8,"['ab', '##si', '##pse', '##d']",3,0.5
34,absirl,N,6,"['ab', '##sir', '##l']",2,0.5
