,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,"['a', '##band']",1,0.6
2,abayed,N,6,"['a', '##bay', '##ed']",2,0.5
3,abbear,N,6,"['a', '##bbe', '##ar']",2,0.5
4,abbears,N,7,"['a', '##bbe', '##ars']",2,0.57
5,abbens,N,6,"['a', '##bbe', '##ns']",2,0.5
6,abchaim,N,7,"['a', '##b', '##cha', '##im']",3,0.43
7,abects,N,6,"['a', '##be', '##cts']",2,0.5
8,abeme,N,5,"['a', '##be', '##me']",2,0.4
9,abents,N,6,"['a', '##bent', '##s']",2,0.5
10,abests,N,6,"['a', '##bes', '##ts']",2,0.5
11,abik,N,4,"['a', '##bi', '##k']",2,0.25
12,ablobs,N,6,"['a', '##b', '##lo', '##bs']",3,0.33
13,abme,N,4,"['a', '##b', '##me']",2,0.25
14,abne,N,4,"['a', '##b', '##ne']",2,0.25
15,abone,N,5,"['a', '##bone']",1,0.6
16,abones,N,6,"['a', '##bones']",1,0.67
17,abow,N,4,"['a', '##bow']",1,0.5
18,abran,N,5,"['a', '##bra', '##n']",2,0.4
19,abrass,N,6,"['a', '##bra', '##ss']",2,0.5
20,abrast,N,6,"['a', '##bra', '##st']",2,0.5
21,abre,N,4,"['a', '##bre']",1,0.5
22,abreeves,N,8,"['a', '##bre', '##eves']",2,0.62
23,abroths,N,7,"['a', '##bro', '##ths']",2,0.57
24,abrush,N,6,"['a', '##brush']",1,0.67
25,abscrict,N,8,"['a', '##bs', '##c', '##ric', '##t']",4,0.38
26,abscue,N,6,"['a', '##bs', '##cue']",2,0.5
27,abscued,N,7,"['a', '##bs', '##cue', '##d']",3,0.43
28,abscusts,N,8,"['a', '##bs', '##cus', '##ts']",3,0.5
29,absians,N,7,"['a', '##bs', '##ians']",2,0.57
30,absidge,N,7,"['a', '##bs', '##idge']",2,0.57
31,absigned,N,8,"['a', '##bs', '##ign', '##ed']",3,0.5
32,absincts,N,8,"['a', '##bs', '##in', '##cts']",3,0.5
