,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,aad,N,3,['▁aad'],0,0.67
1,aaf,N,3,"['▁a', 'af']",1,0.33
2,aagst,N,5,"['▁a', 'a', 'gst']",2,0.4
3,aakbeest,N,8,"['▁a', 'ak', 'be', 'est']",3,0.5
4,aakje,N,5,"['▁a', 'ak', 'je']",2,0.4
5,aaks,N,4,"['▁a', 'aks']",1,0.5
6,aakst,N,5,"['▁a', 'ak', 'st']",2,0.4
7,aakwes,N,6,"['▁a', 'ak', 'we', 's']",3,0.33
8,aalde,N,5,"['▁a', 'alde']",1,0.6
9,aalden,N,6,"['▁a', 'al', 'den']",2,0.5
10,aalder,N,6,"['▁a', 'al', 'der']",2,0.5
11,aalgees,N,7,"['▁a', 'al', 'ge', 'es']",3,0.43
12,aanbok,N,6,"['▁aan', 'bok']",1,0.67
13,aanbol,N,6,"['▁aan', 'bol']",1,0.67
14,aand,N,4,"['▁a', 'and']",1,0.5
15,aandge,N,6,"['▁aan', 'dge']",1,0.67
16,aangiep,N,7,"['▁aan', 'gi', 'ep']",2,0.57
17,aankeen,N,7,"['▁aan', 'keen']",1,0.71
18,aankeerd,N,8,"['▁aan', 'k', 'eerd']",2,0.62
19,aankrast,N,8,"['▁aan', 'kra', 'st']",2,0.62
20,aankruig,N,8,"['▁aan', 'kru', 'ig']",2,0.62
21,aannicht,N,8,"['▁aan', 'ni', 'cht']",2,0.62
22,aannorst,N,8,"['▁aan', 'nor', 'st']",2,0.62
23,aanpijk,N,7,"['▁aan', 'pij', 'k']",2,0.57
24,aanplok,N,7,"['▁aan', 'plo', 'k']",2,0.57
25,aanpunst,N,8,"['▁aan', 'pun', 'st']",2,0.62
26,aanrof,N,6,"['▁aan', 'ro', 'f']",2,0.5
27,aanrus,N,6,"['▁aan', 'rus']",1,0.67
28,aans,N,4,"['▁aan', 's']",1,0.5
29,aanschijk,N,9,"['▁aan', 'sch', 'ijk']",2,0.67
30,aanschuw,N,8,"['▁aan', 'sch', 'uw']",2,0.62
31,aanstaam,N,8,"['▁aan', 'sta', 'am']",2,0.62
32,aanveeldt,N,9,"['▁aan', 'veel', 'dt']",2,0.67
33,aanweer,N,7,"['▁aan', 'weer']",1,0.71
34,aanwid,N,6,"['▁aan', 'wid']",1,0.67
35,aarbracht,N,9,"['▁a', 'arb', 'racht']",2,0.67
36,aarbrang,N,8,"['▁a', 'arb', 'rang']",2,0.62
37,aardgoo,N,7,"['▁aard', 'goo']",1,0.71
38,aardkil,N,7,"['▁aard', 'kil']",1,0.71
39,aardraan,N,8,"['▁aard', 'raan']",1,0.75
40,aardsomst,N,9,"['▁aard', 'som', 'st']",2,0.67
41,aargrift,N,8,"['▁a', 'ar', 'gri', 'ft']",3,0.5
42,aarhoop,N,7,"['▁a', 'ar', 'ho', 'op']",3,0.43
43,aarjang,N,7,"['▁a', 'ar', 'jang']",2,0.57
44,aarlang,N,7,"['▁a', 'ar', 'lang']",2,0.57
45,aarnert,N,7,"['▁a', 'arne', 'rt']",2,0.57
46,aarplag,N,7,"['▁a', 'ar', 'p', 'lag']",3,0.43
47,aarriens,N,8,"['▁a', 'arri', 'ens']",2,0.62
48,aarschaans,N,10,"['▁', 'aars', 'cha', 'ans']",3,0.6
49,aarschein,N,9,"['▁a', 'ar', 'schein']",2,0.67
50,aarsien,N,7,"['▁a', 'arsi', 'en']",2,0.57
51,aarst,N,5,"['▁a', 'ar', 'st']",2,0.4
52,aarstands,N,9,"['▁a', 'ar', 'stand', 's']",3,0.56
53,aartol,N,6,"['▁a', 'ar', 'tol']",2,0.5
54,aarwel,N,6,"['▁a', 'ar', 'wel']",2,0.5
55,aarwouw,N,7,"['▁a', 'ar', 'wo', 'uw']",3,0.43
56,aat,N,3,"['▁a', 'at']",1,0.33
57,aatslas,N,7,"['▁a', 'ats', 'las']",2,0.57
58,ab,N,2,['▁ab'],0,0.5
59,abant,N,5,"['▁a', 'bant']",1,0.6
60,abbes,N,5,"['▁ab', 'bes']",1,0.6
61,abdent,N,6,"['▁ab', 'dent']",1,0.67
62,abert,N,5,"['▁aber', 't']",1,0.6
63,abras,N,5,"['▁a', 'bras']",1,0.6
64,abree,N,5,"['▁abre', 'e']",1,0.6
65,absald,N,6,"['▁abs', 'ald']",1,0.67
66,absept,N,6,"['▁ab', 'sept']",1,0.67
67,abstrelt,N,8,"['▁ab', 'stre', 'lt']",2,0.62
68,abte,N,4,"['▁ab', 'te']",1,0.5
69,achterds,N,8,"['▁achter', 'ds']",1,0.75
70,achtjaan,N,8,"['▁acht', 'jaan']",1,0.75
