Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Morphessor_Scores,Reading_Time,Accuracy
aad,N,3,"['a', 'ad']",1,0.33,17.61,628.03,0.95
aaf,N,3,"['a', 'af']",1,0.33,15.49,586.11,1.0
aagst,N,5,"['a', 'ag', 'st']",2,0.4,26.34,746.65,0.9
aakbeest,N,8,"['aak', 'beest']",1,0.75,23.32,600.92,1.0
aakje,N,5,"['aak', 'je']",1,0.6,21.75,631.08,0.97
aaks,N,4,"['aak', 's']",1,0.5,18.94,623.64,0.97
aakst,N,5,"['aak', 'st']",1,0.6,20.49,603.72,1.0
aakwes,N,6,"['aak', 'we', 's']",2,0.5,28.16,603.21,1.0
aalde,N,5,"['aal', 'de']",1,0.6,18.8,708.89,0.95
aalden,N,6,"['aal', 'den']",1,0.67,20.16,723.83,0.9
aalder,N,6,"['aal', 'der']",1,0.67,19.84,616.25,0.92
aalgees,N,7,"['aal', 'ge', 'es']",2,0.57,26.16,632.65,0.97
aanbok,N,6,"['aan', 'bok']",1,0.67,19.52,757.44,0.9
aanbol,N,6,"['aan', 'bol']",1,0.67,17.94,732.24,0.92
aand,N,4,"['aan', 'd']",1,0.5,15.26,597.79,1.0
aandge,N,6,"['aan', 'd', 'ge']",2,0.5,20.84,609.87,1.0
aangiep,N,7,"['aan', 'gi', 'ep']",2,0.57,28.13,709.32,1.0
aankeen,N,7,"['aan', 'ke', 'en']",2,0.57,23.31,613.69,1.0
aankeerd,N,8,"['aan', 'k', 'eerd']",2,0.62,24.3,711.68,0.9
aankrast,N,8,"['aan', 'kra', 'st']",2,0.62,25.96,738.13,0.92
aankruig,N,8,"['aan', 'krui', 'g']",2,0.62,25.81,667.62,0.97
aannicht,N,8,"['aan', 'nicht']",1,0.75,19.7,663.67,0.95
aannorst,N,8,"['aan', 'nor', 'st']",2,0.62,26.46,605.54,0.97
aanpijk,N,7,"['aan', 'p', 'ijk']",2,0.57,25.17,665.82,0.97
aanplok,N,7,"['aan', 'p', 'lok']",2,0.57,25.9,651.29,1.0
aanpunst,N,8,"['aan', 'pun', 'st']",2,0.62,26.22,678.82,0.97
aanrof,N,6,"['aan', 'ro', 'f']",2,0.5,25.35,650.0,0.92
aanrus,N,6,"['aan', 'rus']",1,0.67,19.37,676.21,1.0
aans,N,4,"['aan', 's']",1,0.5,14.29,664.76,0.97
aanschijk,N,9,"['aan', 'sch', 'ijk']",2,0.67,25.78,719.69,0.92
aanschuw,N,8,"['aan', 'schuw']",1,0.75,19.37,821.53,0.51
aanstaam,N,8,"['aansta', 'am']",1,0.75,21.62,759.37,0.92
aanveeldt,N,9,"['aan', 'veel', 'dt']",2,0.67,29.02,650.22,0.97
aanweer,N,7,"['aan', 'weer']",1,0.71,16.99,744.73,0.67
aanwid,N,6,"['aanw', 'id']",1,0.67,22.05,675.67,0.95
aarbracht,N,9,"['aar', 'brach', 't']",2,0.67,28.91,721.68,0.9
aarbrang,N,8,"['aar', 'b', 'rang']",2,0.62,28.81,654.41,1.0
aardgoo,N,7,"['aard', 'goo']",1,0.71,21.05,602.69,1.0
aardkil,N,7,"['aard', 'kil']",1,0.71,21.17,693.97,0.97
aardraan,N,8,"['aard', 'r', 'aan']",2,0.62,24.85,650.18,0.97
aardsomst,N,9,"['aard', 'som', 'st']",2,0.67,28.4,730.62,0.97
aargrift,N,8,"['aar', 'gri', 'ft']",2,0.62,32.02,692.14,0.97
aarhoop,N,7,"['aar', 'hoop']",1,0.71,21.21,622.44,1.0
aarjang,N,7,"['aar', 'jan', 'g']",2,0.57,29.66,632.44,1.0
aarlang,N,7,"['aar', 'lang']",1,0.71,20.48,665.16,0.97
aarnert,N,7,"['aar', 'ner', 't']",2,0.57,29.38,596.28,1.0
aarplag,N,7,"['aar', 'p', 'lag']",2,0.57,28.58,632.7,1.0
aarriens,N,8,"['aar', 'ri', 'ens']",2,0.62,29.14,621.05,1.0
aarschaans,N,10,"['aar', 'scha', 'ans']",2,0.7,31.8,661.54,1.0
aarschein,N,9,"['aars', 'che', 'in']",2,0.67,27.37,634.5,1.0
aarsien,N,7,"['aars', 'ien']",1,0.71,22.42,611.68,0.97
aarst,N,5,"['aars', 't']",1,0.6,17.84,729.37,0.92
aarstands,N,9,"['aar', 'stands']",1,0.78,22.27,711.67,0.95
aartol,N,6,"['aar', 'tol']",1,0.67,21.71,620.03,1.0
aarwel,N,6,"['aar', 'wel']",1,0.67,19.61,703.46,1.0
aarwouw,N,7,"['aar', 'wou', 'w']",2,0.57,30.06,633.72,1.0
aat,N,3,['aat'],0,0.67,12.55,704.59,1.0
aatslas,N,7,"['aats', 'las']",1,0.71,23.45,584.35,1.0
ab,N,2,['ab'],0,0.5,11.7,626.21,0.9
abant,N,5,"['ab', 'ant']",1,0.6,20.75,607.64,1.0
abbes,N,5,"['ab', 'be', 's']",2,0.4,24.05,600.85,1.0
abdent,N,6,"['ab', 'den', 't']",2,0.5,27.34,654.71,0.97
abert,N,5,"['a', 'bert']",1,0.6,19.3,643.87,1.0
abras,N,5,"['a', 'bras']",1,0.6,19.71,652.55,0.92
abree,N,5,"['ab', 'ree']",1,0.6,21.71,586.86,0.95
absald,N,6,"['ab', 'sald']",1,0.67,23.1,628.39,1.0
absept,N,6,"['ab', 'se', 'pt']",2,0.5,31.55,688.09,0.95
abstrelt,N,8,"['ab', 'strel', 't']",2,0.62,29.96,609.56,1.0
abte,N,4,"['ab', 'te']",1,0.5,19.64,734.35,0.74
achterds,N,8,"['achter', 'd', 's']",2,0.62,22.3,752.47,1.0
achtjaan,N,8,"['acht', 'j', 'aan']",2,0.62,25.48,744.0,0.97
achts,N,5,"['acht', 's']",1,0.6,15.89,836.83,0.62
acool,N,5,"['a', 'cool']",1,0.6,19.55,664.28,1.0
acteept,N,7,"['acte', 'ep', 't']",2,0.57,29.71,702.38,0.97
aden,N,4,"['ad', 'en']",1,0.5,16.66,672.87,1.0
adgent,N,6,"['ad', 'gen', 't']",2,0.5,26.29,630.36,1.0
adhees,N,6,"['ad', 'hee', 's']",2,0.5,27.83,575.28,1.0
adim,N,4,"['adi', 'm']",1,0.5,19.05,547.87,1.0
adit,N,4,"['adi', 't']",1,0.5,18.41,579.64,1.0
adooi,N,5,"['a', 'dooi']",1,0.6,19.55,594.79,1.0
adrak,N,5,"['ad', 'rak']",1,0.6,20.74,601.28,1.0
adries,N,6,"['a', 'drie', 's']",2,0.5,23.53,693.78,0.97
aduus,N,5,"['ad', 'uu', 's']",2,0.4,27.24,600.36,0.95
adwel,N,5,"['ad', 'wel']",1,0.6,18.72,583.08,1.0
adzie,N,5,"['ad', 'zie']",1,0.6,21.37,575.54,1.0
aeik,N,4,"['ae', 'ik']",1,0.5,22.15,562.31,1.0
afbinst,N,7,"['af', 'bin', 'st']",2,0.57,26.24,627.59,1.0
afbrenk,N,7,"['af', 'bren', 'k']",2,0.57,25.92,696.62,0.95
afdrijk,N,7,"['afd', 'rijk']",1,0.71,21.61,661.08,0.97
