,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,sometrais,N,9,"['som', '##et', '##rais']",2,0.67
1,vetucoution,N,11,"['ve', '##tu', '##cou', '##tion']",3,0.64
2,heusenreil,N,10,"['he', '##usen', '##re', '##il']",3,0.6
3,lanmin,N,6,"['lan', '##min']",1,0.67
4,peités,N,6,"['pe', '##ités']",1,0.67
5,fatichée,N,8,"['fati', '##chée']",1,0.75
6,ainrir,N,6,"['ai', '##n', '##rir']",2,0.5
7,guevillors,N,10,"['gu', '##ev', '##illo', '##rs']",3,0.6
8,injourment,N,10,"['injou', '##rm', '##ent']",2,0.7
9,ancotemps,N,9,"['anc', '##otem', '##ps']",2,0.67
10,osatrome,N,8,"['os', '##at', '##rome']",2,0.62
11,tengeur,N,7,"['ten', '##ge', '##ur']",2,0.57
12,trouliré,N,8,"['trou', '##lir', '##é']",2,0.62
13,ruitreste,N,9,"['ru', '##itre', '##ste']",2,0.67
14,cettirait,N,9,"['cet', '##tir', '##ait']",2,0.67
15,lacupatraidais,N,14,"['lac', '##upa', '##trai', '##da', '##is']",4,0.64
16,marbruns,N,8,"['mar', '##bru', '##ns']",2,0.62
17,decicrirains,N,12,"['dec', '##ic', '##rira', '##ins']",3,0.67
18,tuntourcarse,N,12,"['tun', '##tour', '##car', '##se']",3,0.67
19,facrétrer,N,9,"['fac', '##rét', '##rer']",2,0.67
20,étontribles,N,11,"['ét', '##ont', '##ribles']",2,0.73
21,fidiencote,N,10,"['fid', '##ien', '##cot', '##e']",3,0.6
22,avero,N,5,"['aver', '##o']",1,0.6
23,chasertion,N,10,"['cha', '##ser', '##tion']",2,0.7
24,choroqueux,N,10,"['chor', '##oque', '##ux']",2,0.7
25,oumisjorivre,N,12,"['ou', '##mis', '##jo', '##riv', '##re']",4,0.58
26,arreutuce,N,9,"['arr', '##eut', '##uce']",2,0.67
27,letron,N,6,"['let', '##ron']",1,0.67
28,repole,N,6,"['rep', '##ole']",1,0.67
29,dannonser,N,9,"['dan', '##nons', '##er']",2,0.67
30,tiléle,N,6,"['ti', '##lé', '##le']",2,0.5
31,seutrevait,N,10,"['seu', '##tre', '##vait']",2,0.7
32,deterserpas,N,11,"['de', '##ters', '##er', '##pas']",3,0.64
33,fortervailtrée,N,14,"['forter', '##vail', '##trée']",2,0.79
34,grillevicter,N,12,"['grille', '##vic', '##ter']",2,0.75
35,phriable,N,8,"['ph', '##ria', '##ble']",2,0.62
36,reure,N,5,"['re', '##ure']",1,0.6
37,jaché,N,5,"['jac', '##hé']",1,0.6
38,insnité,N,7,"['ins', '##nité']",1,0.71
39,goscepolors,N,11,"['go', '##s', '##cep', '##olor', '##s']",4,0.55
40,cailtitaient,N,12,"['ca', '##il', '##tit', '##aient']",3,0.67
41,beaufitete,N,10,"['beau', '##fit', '##et', '##e']",3,0.6
42,pépontes,N,8,"['pép', '##ontes']",1,0.75
43,oturbangarme,N,12,"['ot', '##urb', '##angar', '##me']",3,0.67
44,épite,N,5,"['ép', '##ite']",1,0.6
45,rutier,N,6,"['ru', '##tier']",1,0.67
46,jeutodroits,N,11,"['jeu', '##to', '##dro', '##its']",3,0.64
47,berrovanais,N,11,"['ber', '##rova', '##nais']",2,0.73
48,exulpatolors,N,12,"['ex', '##ulp', '##ato', '##lor', '##s']",4,0.58
49,astatiens,N,9,"['ast', '##atie', '##ns']",2,0.67
50,favernais,N,9,"['fav', '##ernai', '##s']",2,0.67
51,ivangé,N,6,"['iv', '##angé']",1,0.67
52,lettupes,N,8,"['let', '##tu', '##pes']",2,0.62
53,chotire,N,7,"['cho', '##tir', '##e']",2,0.57
54,sacouvoyer,N,10,"['sac', '##ouv', '##oyer']",2,0.7
55,prélentin,N,9,"['préle', '##nti', '##n']",2,0.67
56,sounister,N,9,"['sou', '##niste', '##r']",2,0.67
57,sotercachetase,N,14,"['sot', '##erc', '##ache', '##ta', '##se']",4,0.64
58,soucoulias,N,10,"['sou', '##cou', '##lia', '##s']",3,0.6
59,parcoution,N,10,"['parc', '##outi', '##on']",2,0.7
60,heucodre,N,8,"['he', '##uc', '##od', '##re']",3,0.5
61,tupaireux,N,9,"['tu', '##pa', '##ire', '##ux']",3,0.56
62,pourpreme,N,9,"['pourpre', '##me']",1,0.78
63,coucierleurs,N,12,"['cou', '##cier', '##leurs']",2,0.75
64,afirait,N,7,"['af', '##irait']",1,0.71
65,gerecce,N,7,"['ger', '##ec', '##ce']",2,0.57
66,reba,N,4,"['reb', '##a']",1,0.5
67,asacienlite,N,11,"['as', '##acie', '##n', '##lit', '##e']",4,0.55
68,queltés,N,7,"['quel', '##tés']",1,0.71
69,jourtaildait,N,12,"['jour', '##tail', '##dait']",2,0.75
70,bonglivitiles,N,13,"['bon', '##gl', '##ivi', '##tiles']",3,0.69
71,famaiterla,N,10,"['fam', '##ait', '##er', '##la']",3,0.6
72,pacivrit,N,8,"['paci', '##v', '##rit']",2,0.62
73,tencousait,N,10,"['ten', '##cous', '##ait']",2,0.7
74,prositre,N,8,"['pros', '##itre']",1,0.75
75,jourgnapeur,N,11,"['jour', '##gna', '##peur']",2,0.73
76,esticonché,N,10,"['esti', '##conc', '##hé']",2,0.7
77,cetterser,N,9,"['cette', '##rs', '##er']",2,0.67
78,pudédaient,N,10,"['pu', '##dé', '##daient']",2,0.7
79,mistilivere,N,11,"['mis', '##til', '##iver', '##e']",3,0.64
80,dischoirer,N,10,"['disc', '##ho', '##irer']",2,0.7
81,faisasonvers,N,12,"['fais', '##ason', '##vers']",2,0.75
82,oudin,N,5,"['ou', '##din']",1,0.6
83,forporsé,N,8,"['for', '##por', '##sé']",2,0.62
84,soural,N,6,"['sour', '##al']",1,0.67
85,écendis,N,7,"['éc', '##endi', '##s']",2,0.57
86,cisissers,N,9,"['cis', '##isser', '##s']",2,0.67
87,jeuvamiève,N,10,"['jeu', '##va', '##mi', '##ève']",3,0.6
88,trounsion,N,9,"['trou', '##ns', '##ion']",2,0.67
89,bres,N,4,['bres'],0,0.75
90,vasonges,N,8,"['vas', '##onge', '##s']",2,0.62
91,faitotes,N,8,"['fait', '##otes']",1,0.75
92,ciciéra,N,7,"['cic', '##iér', '##a']",2,0.57
93,libriver,N,8,"['lib', '##riv', '##er']",2,0.62
94,traplisi,N,8,"['trap', '##lis', '##i']",2,0.62
95,détemire,N,8,"['déte', '##mir', '##e']",2,0.62
96,lecterte,N,8,"['lect', '##erte']",1,0.75
97,hiperer,N,7,"['hip', '##ere', '##r']",2,0.57
98,scrondre,N,8,"['scr', '##ondre']",1,0.75
99,mourotte,N,8,"['mour', '##otte']",1,0.75
100,heuprivrit,N,10,"['he', '##up', '##riv', '##rit']",3,0.6
101,forsire,N,7,"['for', '##sir', '##e']",2,0.57
102,timentalsait,N,12,"['time', '##nt', '##als', '##ait']",3,0.67
103,laistroude,N,10,"['la', '##ist', '##roud', '##e']",3,0.6
104,courseaux,N,9,"['course', '##aux']",1,0.78
105,repéfois,N,8,"['repé', '##fois']",1,0.75
106,icires,N,6,"['ici', '##res']",1,0.67
107,laismique,N,9,"['la', '##ism', '##ique']",2,0.67
108,capiers,N,7,"['cap', '##iers']",1,0.71
109,dertoitivant,N,12,"['der', '##to', '##iti', '##vant']",3,0.67
110,blouer,N,6,"['blo', '##uer']",1,0.67
111,miléle,N,6,"['mil', '##él', '##e']",2,0.5
112,vicouvres,N,9,"['vic', '##ouvre', '##s']",2,0.67
113,filmantion,N,10,"['filmant', '##ion']",1,0.8
114,misparseil,N,10,"['mis', '##par', '##seil']",2,0.7
115,paltoilélée,N,11,"['pal', '##to', '##ilé', '##lée']",3,0.64
116,aimencatait,N,11,"['aime', '##n', '##cat', '##ait']",3,0.64
117,tersitit,N,8,"['ter', '##si', '##tit']",2,0.62
118,ausitemps,N,9,"['aus', '##ite', '##mps']",2,0.67
119,sesenrige,N,9,"['ses', '##en', '##rig', '##e']",3,0.56
120,ofavec,N,6,"['of', '##avec']",1,0.67
121,froce,N,5,"['fro', '##ce']",1,0.6
122,sogatait,N,8,"['so', '##gat', '##ait']",2,0.62
123,infences,N,8,"['inf', '##ences']",1,0.75
124,laneloment,N,10,"['lan', '##elo', '##ment']",2,0.7
125,vilmiche,N,8,"['vil', '##mic', '##he']",2,0.62
126,peudait,N,7,"['peu', '##dait']",1,0.71
127,voconral,N,8,"['voc', '##on', '##ral']",2,0.62
128,autames,N,7,"['aut', '##ames']",1,0.71
129,garmation,N,9,"['gar', '##mation']",1,0.78
130,aupomet,N,7,"['au', '##po', '##met']",2,0.57
131,pautigneux,N,10,"['pau', '##tign', '##eux']",2,0.7
132,prelése,N,7,"['pre', '##lés', '##e']",2,0.57
133,enretiendis,N,11,"['enr', '##eti', '##endi', '##s']",3,0.64
134,inschebinion,N,12,"['insc', '##he', '##bin', '##ion']",3,0.67
135,vitin,N,5,"['vit', '##in']",1,0.6
136,probarral,N,9,"['prob', '##arra', '##l']",2,0.67
137,mamonre,N,7,"['mam', '##on', '##re']",2,0.57
138,atessorson,N,10,"['ate', '##ss', '##ors', '##on']",3,0.6
139,disforte,N,8,"['dis', '##fort', '##e']",2,0.62
140,brion,N,5,"['brio', '##n']",1,0.6
141,sariosent,N,9,"['sar', '##iose', '##nt']",2,0.67
142,retatites,N,9,"['reta', '##tites']",1,0.78
143,ferfime,N,7,"['fer', '##fi', '##me']",2,0.57
144,effil,N,5,"['eff', '##il']",1,0.6
145,schuille,N,8,"['sch', '##uil', '##le']",2,0.62
146,buniment,N,8,"['bun', '##iment']",1,0.75
147,frintrova,N,9,"['fri', '##nt', '##rova']",2,0.67
148,vesciable,N,9,"['ves', '##ciable']",1,0.78
149,gafice,N,6,"['ga', '##fice']",1,0.67
150,monconjuste,N,11,"['mon', '##con', '##jus', '##te']",3,0.64
151,têtisi,N,6,"['t', '##êt', '##isi']",2,0.5
152,obterle,N,7,"['obt', '##erle']",1,0.71
153,glac,N,4,"['gla', '##c']",1,0.5
154,racriprès,N,9,"['rac', '##rip', '##rès']",2,0.67
155,rérassasmatrage,N,15,"['ré', '##rass', '##asma', '##trage']",3,0.73
156,forailais,N,9,"['for', '##ail', '##ais']",2,0.67
157,fairitente,N,10,"['fair', '##itent', '##e']",2,0.7
158,blestatontarment,N,16,"['bles', '##tat', '##ont', '##arme', '##nt']",4,0.69
159,acirais,N,7,"['aci', '##rais']",1,0.71
160,peudiment,N,9,"['peu', '##dim', '##ent']",2,0.67
161,bapsait,N,7,"['ba', '##ps', '##ait']",2,0.57
162,sénes,N,5,"['sén', '##es']",1,0.6
163,détiner,N,7,"['dét', '##iner']",1,0.71
164,pleutismes,N,10,"['pleut', '##ismes']",1,0.8
165,letrititains,N,12,"['let', '##rit', '##itain', '##s']",3,0.67
166,chertrante,N,10,"['cher', '##trant', '##e']",2,0.7
167,aptenvec,N,8,"['apte', '##n', '##vec']",2,0.62
168,sacontintres,N,12,"['sac', '##onti', '##ntre', '##s']",3,0.67
169,nonirs,N,6,"['non', '##irs']",1,0.67
170,fése,N,4,"['fé', '##se']",1,0.5
171,gordulme,N,8,"['gor', '##du', '##lm', '##e']",3,0.5
172,arsenses,N,8,"['arsen', '##ses']",1,0.75
173,parcite,N,7,"['parci', '##te']",1,0.71
174,alirait,N,7,"['ali', '##rait']",1,0.71
175,discometemps,N,12,"['disco', '##met', '##emp', '##s']",3,0.67
176,découterdir,N,11,"['déco', '##uter', '##di', '##r']",3,0.64
177,préconvait,N,10,"['précon', '##vait']",1,0.8
178,réhaimoigues,N,12,"['ré', '##hai', '##mo', '##igue', '##s']",4,0.58
179,enchique,N,8,"['ench', '##ique']",1,0.75
180,épornir,N,7,"['ép', '##orn', '##ir']",2,0.57
181,ensendies,N,9,"['ense', '##nd', '##ies']",2,0.67
182,distilmionde,N,12,"['distil', '##mio', '##nd', '##e']",3,0.67
183,criscomarfaité,N,14,"['cris', '##com', '##ar', '##fait', '##é']",4,0.64
184,gorcouprit,N,10,"['gor', '##coup', '##rit']",2,0.7
185,gonels,N,6,"['go', '##nels']",1,0.67
186,fouveilser,N,10,"['fou', '##veil', '##ser']",2,0.7
187,heuver,N,6,"['he', '##uve', '##r']",2,0.5
188,demantat,N,8,"['de', '##mant', '##at']",2,0.62
189,nomsa,N,5,"['noms', '##a']",1,0.6
190,pasporsons,N,10,"['pas', '##por', '##sons']",2,0.7
191,achargéser,N,10,"['achar', '##gés', '##er']",2,0.7
192,serlait,N,7,"['ser', '##lait']",1,0.71
193,voumolent,N,9,"['vo', '##um', '##olent']",2,0.67
194,pisèchais,N,9,"['pis', '##è', '##chais']",2,0.67
195,procipreçon,N,11,"['proc', '##ip', '##re', '##çon']",3,0.64
196,raster,N,6,"['ras', '##ter']",1,0.67
197,malére,N,6,"['malé', '##re']",1,0.67
198,camilderait,N,11,"['cam', '##ilde', '##rait']",2,0.73
199,somoutit,N,8,"['som', '##outi', '##t']",2,0.62
