,Unnamed: 0,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,0,aad,N,3,"['a', '##ad']",1,0.33
1,1,aaf,N,3,"['a', '##af']",1,0.33
2,2,aagst,N,5,"['a', '##ag', '##st']",2,0.4
3,3,aakbeest,N,8,"['a', '##ak', '##be', '##es', '##t']",4,0.38
4,4,aakje,N,5,"['a', '##ak', '##je']",2,0.4
5,5,aaks,N,4,"['a', '##ak', '##s']",2,0.25
6,6,aakst,N,5,"['a', '##ak', '##st']",2,0.4
7,7,aakwes,N,6,"['a', '##ak', '##we', '##s']",3,0.33
8,8,aalde,N,5,"['a', '##al', '##de']",2,0.4
9,9,aalden,N,6,"['a', '##al', '##den']",2,0.5
10,10,aalder,N,6,"['a', '##al', '##der']",2,0.5
11,11,aalgees,N,7,"['a', '##al', '##ge', '##es']",3,0.43
12,12,aanbok,N,6,"['aan', '##b', '##ok']",2,0.5
13,13,aanbol,N,6,"['aan', '##b', '##ol']",2,0.5
14,14,aand,N,4,"['aan', '##d']",1,0.5
15,15,aandge,N,6,"['aan', '##d', '##ge']",2,0.5
16,16,aangiep,N,7,"['aan', '##g', '##ie', '##p']",3,0.43
17,17,aankeen,N,7,"['aan', '##ke', '##en']",2,0.57
18,18,aankeerd,N,8,"['aan', '##ke', '##er', '##d']",3,0.5
19,19,aankrast,N,8,"['aan', '##k', '##ra', '##st']",3,0.5
20,20,aankruig,N,8,"['aan', '##k', '##ru', '##ig']",3,0.5
21,21,aannicht,N,8,"['aan', '##n', '##icht']",2,0.62
22,22,aannorst,N,8,"['aan', '##n', '##or', '##st']",3,0.5
23,23,aanpijk,N,7,"['aan', '##p', '##ijk']",2,0.57
24,24,aanplok,N,7,"['aan', '##pl', '##ok']",2,0.57
25,25,aanpunst,N,8,"['aan', '##p', '##un', '##st']",3,0.5
26,26,aanrof,N,6,"['aan', '##ro', '##f']",2,0.5
27,27,aanrus,N,6,"['aan', '##ru', '##s']",2,0.5
28,28,aans,N,4,"['aan', '##s']",1,0.5
